恒大世纪广场  精装修   看房方便  业主诚心出售,恒大世纪广场,西客站,3室1厅 ,109.0, 南 北 , 精装 ,27, 板楼,2,11,1550000.0,"14,221元/平",VR看装修 随时看房 
此房为中间楼层 楼前无遮挡，两室朝阳，采光好,中建锦绣城,西客站,3室2厅 ,103.97, 南 北 , 简装 ,27, 板楼,137, 一年前发布,1420000.0,"13,658元/平",近地铁 VR看装修 房本满两年 
满二  精装修  视野开阔  万科物业,西城济水上苑,西客站,3室2厅 ,143.93, 南 , 精装 ,18, 板楼,6, 8个月以前发布,2090000.0,"14,521元/平",VR看装修 房本满两年 
【店长推荐】精装小三居，全天采光无遮挡，诚心出售,中建锦绣蘭庭,西客站,3室2厅 ,91.16, 南 , 精装 ,29, 板楼,35, 8个月以前发布,1350000.0,"14,810元/平",VR看装修 房本满两年 
新 上 温馨小三居 采光无遮挡 精装修 视野开阔,中建锦绣城,西客站,3室2厅 ,103.95, 南 , 精装 ,27, 板楼,69, 一年前发布,1470000.0,"14,142元/平",近地铁 VR看装修 房本满两年 
外海西子，3室朝阳，视野开阔，证满2年,外海西子城市花园,匡山区,3室2厅 ,110.87, 南 北 , 简装 ,6, 板楼,305, 一年前发布,1130000.0,"10,193元/平",VR看装修 房本满五年 
厅卧朝阳，全明户型，南北通透，采光充足,外海西子城市花园,匡山区,2室2厅 ,91.91, 南 北 , 精装 ,6, 板楼,13, 7个月以前发布,1300000.0,"14,145元/平",VR看装修 房本满五年 
绿地香榭丽 环境舒适 三室  居住舒适,绿地新里香榭丽公馆,西客站,3室2厅 ,135.92, 南 北 , 精装 ,31, 板楼,1, 一年前发布,1900000.0,"13,979元/平",VR看装修 房本满两年 
鑫苑世家公馆 四居室 精装修 楼层佳 视野开阔 采光好,鑫苑世家公馆,西客站,4室1厅 ,111.81, 南 北 , 精装 ,33, 板楼,11, 1个月以前发布,1890000.0,"16,904元/平",VR房源 房本满两年 
龙湖名景台，精装三室，看房方便,龙湖名景台,西客站,3室2厅 ,131.44, 南 北 , 精装 ,27, 板楼,34, 一年前发布,2300000.0,"17,499元/平",VR看装修 房本满两年 
楼下即为人工湖三室客厅朝阳采光充足 华庭首期诚意售,恒大翡翠华庭,西客站,4室2厅 ,204.96, 南 , 精装 ,30, 板楼,15, 10个月以前发布,3230000.0,"15,760元/平",VR看装修 房本满两年 
精装大三室，观景房，户型明亮  小区环境优美，,恒大雅苑,西客站,3室2厅 ,138.16, 南 , 精装 ,33, 板楼,6, 7个月以前发布,1780000.0,"12,884元/平",近地铁 VR看装修 房本满两年 
恒大精装 高档社区 采光视野好 标准新房未住 交通便利,恒大翡翠华庭,西客站,4室2厅 ,177.98, 南 北 , 精装 ,30, 板楼,16, 一年前发布,2800000.0,"15,733元/平",VR看装修 房本满两年 
工作调动，出售爱房！精装大三室中间楼层+车位地下室,西城济水上苑,西客站,3室2厅 ,134.19, 南 北 , 精装 ,33, 板楼,34, 一年前发布,1800000.0,"13,414元/平",近地铁 VR看装修 房本满两年 
绿地国际花都 三期精装未住三室  证满两年,绿地国际花都,腊山,3室1厅 ,102.85, 南 北 , 精装 ,23, 板楼,11, 9个月以前发布,1330000.0,"12,932元/平",近地铁 VR看装修 房本满两年 
世购商圈优质好房，精装修，随时方便看房,剑桥府邸,腊山,3室2厅 ,125.45, 南 北 , 精装 ,33, 板楼,68, 一年前发布,1600000.0,"12,755元/平",近地铁 VR看装修 房本满两年 
绿地国际花都  南北通透三居室  户型方正  交通便利,绿地国际花都,腊山,3室2厅 ,104.14, 北 南 , 毛坯 ,24, 板楼,26, 一年前发布,1280000.0,"12,292元/平",近地铁 VR看装修 房本满两年 
双地铁，地铁R1+R2线，大型社区，落地窗，人车分流,绿地国际花都,腊山,3室2厅 ,101.21, 南 北 , 精装 ,27, 板楼,11, 8个月以前发布,1480000.0,"14,624元/平",近地铁 VR看装修 房本满两年 
交通便利配套齐全，南北通透，户型方正好楼层精装修,外海中央花园一期,腊山,3室2厅 ,145.89, 南 北 , 精装 ,11, 板楼,24, 10个月以前发布,2260000.0,"15,492元/平",VR房源 房本满五年 
此房精装婚房，三室两厅，户型方正，成熟社区,荣祥花园,腊山,3室2厅 ,116.79, 南 , 精装 ,12, 塔楼,22, 3个月以前发布,1350000.0,"11,560元/平",近地铁 VR房源 房本满五年 
地铁R1+R2线 双地铁 大型社区 双气地暖电梯房 房龄新,绿地泉景园,腊山,4室2厅 ,138.13, 南 北 , 简装 ,33, 板楼,4, 5个月以前发布,1800000.0,"13,032元/平",近地铁 VR看装修 房本满五年 
视野宽阔 楼层高，采光好，小区环境优美，户型方正,金科城,西客站,3室2厅 ,96.53, 南 , 精装 ,33, 板楼,47, 7个月以前发布,1200000.0,"12,432元/平",近地铁 VR看装修 房本满两年 
绿地泉景嘉园 精装修 带地下室22平,绿地泉景嘉园,腊山,3室2厅 ,113.67, 南 北 , 精装 ,33, 板楼,15, 10个月以前发布,1480000.0,"13,021元/平",VR看装修 房本满两年 
济南市张庄路茶叶市场 大三居 南北通透 满五唯一,张庄路247号,匡山区,3室2厅 ,112.89, 南 北 , 简装 ,6, 板楼,36, 7个月以前发布,1185000.0,"10,497元/平",近地铁 VR看装修 房本满五年 
经十路，凯旋国税局宿舍。大院停车，精装三居两卫,舜承苑,南辛庄,3室2厅 ,140.45, 南 北 , 精装 ,6, 板楼,6, 一年前发布,2450000.0,"17,444元/平",VR房源 房本满五年 
连城水岸两室两厅两卫，全明户型，带储藏室精装拎包住,连城水岸,段店,2室2厅 ,108.85, 南 北 , 精装 ,17, 板楼,24, 6个月以前发布,1520000.0,"13,965元/平",VR看装修 房本满两年 
经十路旁 精装修 楼层好 位置好,外海中央花园二期,腊山,3室1厅 ,80.26, 南 , 精装 ,27, 板楼,7, 4个月以前发布,1300000.0,"16,198元/平",近地铁 VR房源 房本满两年 
恒大雅苑 精装全新三室未住过 两室朝南无遮挡,恒大雅苑,西客站,3室2厅 ,96.08, 南 北 , 精装 ,23, 板楼,7, 一年前发布,1480000.0,"15,404元/平",近地铁 VR看装修 房本满两年 
中建锦绣城 精装修婚房  未入住,中建锦绣城,西客站,3室2厅 ,111.76, 南 北 , 精装 ,27, 板楼,13, 3个月以前发布,1680000.0,"15,033元/平",VR看装修 房本满两年 
店长推荐   花都三室南向户型   证满两年  好楼层,绿地国际花都,腊山,3室2厅 ,108.74, 南 , 精装 ,31, 板楼,15, 3个月以前发布,1320000.0,"12,140元/平",近地铁 VR看装修 房本满五年 
中高楼层采光好，精装修带车位.,绿地新里香榭丽公馆,西客站,2室2厅 ,92.88, 南 , 精装 ,32, 板楼,13, 7个月以前发布,1250000.0,"13,459元/平",VR看装修 房本满两年 
改善首選 公园旁《樓王.大四居》万科物业 好楼层,西城济水上苑,西客站,4室1厅 ,273.52, 南 北 , 简装 ,28, 板楼,13, 一年前发布,3700000.0,"13,528元/平",VR房源 房本满两年 
济南市张庄路茶叶市场 大三居 南北通透 满五唯一,张庄路247号,匡山区,3室2厅 ,112.89, 南 北 , 简装 ,6, 板楼,36, 7个月以前发布,1185000.0,"10,497元/平",近地铁 VR看装修 房本满五年 
经十路，凯旋国税局宿舍。大院停车，精装三居两卫,舜承苑,南辛庄,3室2厅 ,140.45, 南 北 , 精装 ,6, 板楼,6, 一年前发布,2450000.0,"17,444元/平",VR房源 房本满五年 
社区是龙湖地产开发 24小时安保 品质社区南北通透,龙湖名景台,西客站,3室1厅 ,97.17, 北 南 , 精装 ,18, 板楼,7, 6个月以前发布,1565000.0,"16,106元/平",VR看装修 房本满两年 
精装三室 双卫 采光好 看房随时,南辛花园,南辛庄,3室2厅 ,123.0, 南 北 , 精装 ,7, 板楼,19, 一年前发布,1980000.0,"16,098元/平",VR看装修 房本满五年 
市中区房龄2012年，带车位和地下室， 精装修,丰润怡邻居,南辛庄,2室2厅 ,79.27, 南 , 其他 ,12, 板塔结合,2,29,1250000.0,"15,769元/平",VR看装修 房本满五年 
少有的南北通透板楼，好楼层视野就是好，带20平地下室,阳光100国际新城G区,阳光100区,3室2厅 ,141.23, 南 北 , 精装 ,18, 板楼,5,28,2650000.0,"18,764元/平",VR看装修 房本满五年 
西市场 群盛华城 电梯房 客厅方正好用房龄新,群盛华城,西市场,3室2厅 ,119.05, 南 北 , 其他 ,18, 板楼,0,27,1880000.0,"15,792元/平",VR看装修 房本满五年 
满五唯一税费低 中间好楼层 南北通透,老屯铁路小区,匡山区,2室2厅 ,73.29, 南 北 , 其他 ,6, 板楼,1,29,790000.0,"10,780元/平",VR看装修 房本满五年 
和谐广场 省立医院 小高层 房龄新 看房方便,新世界阳光花园东区,和谐广场,2室2厅 ,116.11, 南 北 , 精装 ,18, 板楼,0,23,2200000.0,"18,948元/平",VR看装修 房本满两年 
阳光100国际新城A区 4室2厅 南 北,阳光100国际新城A区,阳光100区,4室2厅 ,140.85, 南 北 , 其他 ,9, 板塔结合,2,27,2700000.0,"19,170元/平",VR看装修 房本满五年 
成熟小区 配套电梯房齐全 高楼层非顶,匡山小区,匡山区,2室1厅 ,72.56, 南 , 其他 ,17, 板楼,2,29,1100000.0,"15,160元/平",近地铁 VR房源 房本满五年 
精装修，中间楼层！南北  通透！看房子方便,匡山小区,匡山区,2室1厅 ,68.89, 南 , 其他 ,5, 板楼,3,24,800000.0,"11,613元/平",近地铁 VR看装修 房本满五年 
荣祥花园 2室2厅 南,荣祥花园,腊山,2室2厅 ,94.59, 南 , 简装 ,14, 板楼,3,23,1100000.0,"11,630元/平",近地铁 VR房源 房本满五年 
张庄路104号煤炭局宿舍双气2室朝阳带小房大院可停车,张庄路104号,中大槐树,2室1厅 ,66.12, 南 北 , 其他 ,5, 板楼,1,18,810000.0,"12,251元/平",VR看装修 房本满两年 
满五，方便停车，双气，南北通透，交通便利，采光好,机车新村四街,段店,3室1厅 ,62.83, 南 北 , 其他 ,6, 板楼,2,29,790000.0,"12,574元/平",VR看装修 房本满五年 
房子南北通透 中间楼层 采光视野都好 公摊小,路劲御景城,中大槐树,3室1厅 ,122.81, 南 北 , 其他 ,15, 板楼,1,22,2480000.0,"20,194元/平",近地铁 VR看装修 房本满两年 
闫千户二区 2室2厅 东,闫千户二区,中大槐树,2室2厅 ,68.32, 东 , 其他 ,6, 板楼,1,27,860000.0,"12,588元/平",近地铁 VR看装修 房本满五年 
精装修两居室婚房 通风明亮户型  有小房,老屯铁路小区,匡山区,2室2厅 ,72.03, 南 北 , 其他 ,6, 板楼,0,25,750000.0,"10,413元/平",近地铁 VR看装修 房本满五年 
地铁2号线八里桥菜市场单位宿舍！3楼两居室,张庄路14,中大槐树,2室1厅 ,57.49, 南 北 , 其他 ,5, 板楼,1,25,730000.0,"12,698元/平",近地铁 VR看装修 房本满两年 
万科物业 精装修三室，采光好 看房方便,西城济水上苑,西客站,3室1厅 ,116.19, 南 北 , 其他 ,33, 板楼,1,26,1600000.0,"13,771元/平",近地铁 VR看装修 房本满两年 
明星小区  中间楼层 采光充足  生活方便,明星小区北区,腊山,2室2厅 ,83.99, 南 西北 , 其他 ,6, 板楼,0,25,890000.0,"10,597元/平",VR看装修 房本满两年 
精装修 通透边户 还有个产权地下室 证满两年免高税,绿地国际花都,腊山,2室2厅 ,94.03, 南 北 , 精装 ,24, 板楼,4,27,1070000.0,"11,380元/平",近地铁 VR看装修 房本满两年 
东方新天地 三室 精装修 房主诚心出售,东方新天地,西市场,3室1厅 ,103.33, 南 北 , 精装 ,18, 板塔结合,4,17,1550000.0,"15,001元/平",VR房源 房本满两年 
R2地铁线  八里桥站  封闭式小区,路劲御景城,中大槐树,3室2厅 ,139.72, 南 北 , 其他 ,15, 板楼,0,23,2700000.0,"19,325元/平",近地铁 VR房源 房本满两年 
张庄路茶叶市场 鑫苑城市之家 中间楼层,鑫苑城市之家,中大槐树,2室1厅 ,70.06, 南 北 , 精装 ,7, 板楼,0,28,1100000.0,"15,701元/平",VR房源 房本满五年 
此房户型方正 正规两室一厅 中间楼层采光,实力小区,世购,2室1厅 ,73.34, 南 , 简装 ,5, 板楼,4,30,740000.0,"10,090元/平",VR房源 房本满五年 
路劲御景城大门旁三居室！前后无遮挡！随时看房,路劲御景城,中大槐树,3室2厅 ,106.85, 南 , 其他 ,28, 板楼,2,28,2100000.0,"19,654元/平",近地铁 VR看装修 房本满五年 
保利华府小高层 中高楼层 交通便利 配套全,保利中心华府,西市场,2室2厅 ,93.2, 南 , 精装 ,17, 板楼,8, 一年前发布,1750000.0,"18,777元/平",VR看装修 房本满两年 随时看房 
泉城花园 两室一厅 电梯 双气 可贷款,泉城花园,匡山区,2室1厅 ,83.41, 南 北 , 简装 ,12, 板楼,5, 7个月以前发布,1120000.0,"13,428元/平",VR看装修 房本满五年 随时看房 
映月紫云城 低楼层 正规两室 随时可看房 有小房,映月紫云城,南辛庄,2室1厅 ,65.99, 南 , 简装 ,26, 板楼,62, 一年前发布,1180000.0,"17,882元/平",VR看装修 房本满两年 随时看房 
槐村街7-9号机车工厂宿舍华联西双气带小房,槐村街7到9号,中大槐树,2室1厅 ,59.58, 南 , 其他 ,6, 板楼,3, 2个月以前发布,590000.0,"9,903元/平",VR看装修 房本满五年 随时看房 
艾菲尔花园 南北通透 采光充足 户型方正,艾菲尔花园,营市街,2室2厅 ,93.61, 南 北 , 简装 ,5, 板楼,8, 6个月以前发布,1350000.0,"14,422元/平",VR看装修 房本满五年 随时看房 
多层电梯，一梯两户公摊低，花园式小区，带车位地下室,新世界阳光花园东区,和谐广场,3室2厅 ,170.13, 南 北 , 精装 ,6, 板楼,33, 6个月以前发布,4130000.0,"24,276元/平",VR看装修 房本满五年 随时看房 
经七路 2室1厅 南 北,经七路,和谐广场,2室1厅 ,67.0, 南 北 , 简装 ,6, 板楼,1,13,780000.0,"11,642元/平",VR房源 随时看房 
新世界阳光花园东区多层！三室朝南！房龄新楼层好！,新世界阳光花园东区,和谐广场,3室2厅 ,146.74, 南 , 精装 ,6, 板楼,14, 5个月以前发布,3600000.0,"24,534元/平",VR看装修 房本满五年 随时看房 
西客站恒大雅苑 精装小三室 业主诚心出售,恒大雅苑,西客站,3室1厅 ,95.22, 南 北 , 精装 ,31, 板楼,15, 4个月以前发布,1250000.0,"13,128元/平",VR看装修 房本满两年 随时看房 
《店长推荐》  采光好  小高层   花园小区,世佳戎居,段店,2室2厅 ,89.76, 南 , 其他 ,16, 板楼,16, 2个月以前发布,1130000.0,"12,590元/平",VR看装修 房本满五年 随时看房 
群盛华城证满五年电梯房楼层视野好交通便利配套齐全,群盛华城,西市场,3室2厅 ,134.56, 南 北 , 其他 ,18, 板楼,2, 1个月以前发布,2200000.0,"16,350元/平",VR看装修 房本满五年 随时看房 
和谐广场，南北通透，交通便利，看房方便,振兴花园,和谐广场,2室2厅 ,77.39, 南 北 , 简装 ,23, 塔楼,57, 一年前发布,1135000.0,"14,666元/平",VR看装修 房本满五年 随时看房 
房龄新 南北通透 采光充足 视野开阔 地下室  诚心出售,阳光100国际新城K区,阳光100区,3室2厅 ,116.78, 南 北 , 精装 ,31, 板塔结合,79, 10个月以前发布,2250000.0,"19,267元/平",VR看装修 房本满五年 随时看房 
省立医院和谐广场旁 三室两厅 诚心出售 有地下室！,德裕家园一区,西市场,3室2厅 ,101.67, 南 北 , 简装 ,28, 塔楼,4, 1个月以前发布,1450000.0,"14,262元/平",VR看装修 房本满两年 随时看房 
德裕家园   两室朝阳  南北通透  采光好,德裕家园一区,西市场,3室1厅 ,111.09, 南 北 , 精装 ,24, 板塔结合,11, 7个月以前发布,1680000.0,"15,123元/平",VR看装修 房本满五年 随时看房 
花园洋房 风景宜人 环境优美 配套齐全 交通便利,龙湖名景台,西客站,3室2厅 ,123.57, 南 北 , 简装 ,9, 板楼,35, 9个月以前发布,2280000.0,"18,452元/平",VR看装修 房本满两年 随时看房 
此房全明户型，采光充足，视野开阔，带地下室，满两年,吉尔西苑,腊山,2室1厅 ,62.8, 南 , 简装 ,6, 板楼,10, 10个月以前发布,840000.0,"13,376元/平",VR看装修 房本满五年 随时看房 
西市场 南北通透，诚心出售，随时看房,二合里小区,中大槐树,2室2厅 ,73.27, 南 北 , 其他 ,6, 板楼,2, 3个月以前发布,950000.0,"12,966元/平",VR看装修 房本满五年 随时看房 
店长推荐 经五纬九路 省立医院第二宿舍 3室1厅 双气,山东省立医院二宿舍,省立医院,3室1厅 ,130.29, 南 , 精装 ,32, 塔楼,7, 6个月以前发布,2150000.0,"16,502元/平",VR看装修 房本满五年 随时看房 
绿地国际花都精装两室 户型方正 全屋空调 无遮挡,绿地国际花都,腊山,2室2厅 ,84.0, 南 , 精装 ,30, 板楼,6, 2个月以前发布,980000.0,"11,667元/平",近地铁 VR看装修 房本满五年 随时看房 
绿地国际花都 两室两厅 精装修 证满两年 看房随时,绿地国际花都,腊山,2室2厅 ,85.63, 南 , 精装 ,29, 板楼,3, 一年前发布,1040000.0,"12,146元/平",近地铁 VR看装修 房本满五年 随时看房 
绿地花都  两室两厅 中高楼层 采光好 精装修 拎包入住,绿地国际花都,腊山,2室2厅 ,86.14, 南 , 精装 ,29, 板楼,3, 10个月以前发布,1050000.0,"12,190元/平",近地铁 VR看装修 房本满五年 随时看房 
此房户型方正，2室2厅，多15平面积,园丁小区(槐荫区),腊山,2室2厅 ,72.91, 南 北 , 简装 ,6, 板楼,10, 4个月以前发布,830000.0,"11,384元/平",近地铁 VR看装修 房本满两年 随时看房 
荣祥花园二期水景华府，两室户型,荣祥花园,腊山,2室2厅 ,84.23, 西南 , 简装 ,17, 塔楼,52, 一年前发布,919900.0,"10,922元/平",近地铁 VR看装修 房本满五年 随时看房 
荣祥花园二期 公摊小 社区成熟 温馨两居室,荣祥花园,腊山,2室1厅 ,82.08, 东南 , 精装 ,17, 塔楼,35, 一年前发布,1020000.0,"12,427元/平",近地铁 VR房源 房本满五年 随时看房 
小区配套齐全，生活便利。交通便利，挨着经十路。,荣祥花园,腊山,2室2厅 ,106.33, 南 , 精装 ,22, 板楼,1, 一年前发布,1300000.0,"12,227元/平",近地铁 VR看装修 房本满五年 随时看房 
《店长推荐》   大院  生活成本低,吉尔北苑,南辛庄,2室0厅 ,58.25, 南 北 , 其他 ,3, 板楼,3, 5个月以前发布,820000.0,"14,078元/平",VR看装修 房本满五年 随时看房 
美里新居 中楼层 南向户型 有15平地下室 户型方正,美里新居,美里湖,2室1厅 ,58.74, 南 , 简装 ,7, 板楼,1, 4个月以前发布,770000.0,"13,109元/平",VR看装修 房本满两年 随时看房 
明星小区北区 南北通透 房龄新 出门经十路,明星小区北区,腊山,2室2厅 ,62.59, 南 北 , 简装 ,6, 板楼,10, 4个月以前发布,730000.0,"11,664元/平",VR房源 房本满五年 随时看房 
100分花园住宅 王炸户型随时看房,蓝石大溪地,经十西路,2室2厅 ,103.34, 南 北 , 精装 ,18, 暂无数据,18, 4个月以前发布,1300000.0,"12,580元/平",VR看装修 房本满两年 随时看房 
匡山全明户型 简单装修 采光视野好 带小房,匡山小区,匡山区,2室1厅 ,61.12, 南 , 简装 ,6, 板楼,7, 10个月以前发布,650000.0,"10,635元/平",VR看装修 房本满五年 随时看房 
经典两居室 业主诚心出 价格可谈 出行方便 视野好,绿地中央广场四区,西客站,2室2厅 ,92.57, 南 , 简装 ,32, 板楼,47, 6个月以前发布,1060000.0,"11,451元/平",近地铁 VR看装修 房本满两年 随时看房 
西客站中间楼层  小区环境安静户型方正,报业文苑,西客站,3室2厅 ,141.56, 南 北 , 简装 ,24, 板楼,0, 4个月以前发布,2050000.0,"14,482元/平",近地铁 VR看装修 房本满两年 随时看房 
中建锦绣城 简单装修 证满两年 看房提前联系,中建锦绣城,西客站,3室2厅 ,118.43, 南 北 , 其他 ,27, 板楼,0, 3个月以前发布,1650000.0,"13,933元/平",VR看装修 房本满五年 随时看房 
西客站优质两居   物业好小区环境好,报业文苑,西客站,2室2厅 ,91.18, 南 , 简装 ,23, 板楼,1, 一年前发布,1390000.0,"15,245元/平",近地铁 VR看装修 房本满两年 随时看房 
西客站 绿地爱丽舍公馆 看房方便 配套成熟,绿地中央广场四区,西客站,2室2厅 ,91.85, 南 , 简装 ,25, 板楼,4, 10个月以前发布,1160000.0,"12,630元/平",近地铁 VR看装修 房本满两年 随时看房 
西客站恒大雅苑 精装两室 采光无遮挡 看房方便,恒大雅苑,西客站,2室2厅 ,97.75, 南 , 精装 ,31, 板楼,7, 10个月以前发布,1310000.0,"13,402元/平",近地铁 VR看装修 房本满两年 随时看房 
匡山小区，低楼层，通风采光好，有证可贷款,匡山小区,匡山区,2室1厅 ,76.77, 南 北 , 其他 ,5, 板楼,1, 1个月以前发布,900000.0,"11,724元/平",近地铁 VR看装修 房本满两年 随时看房 
匡山小区+两室+满五唯一+有小房+业主诚心卖,匡山小区,匡山区,2室1厅 ,71.93, 南 北 , 简装 ,5, 板楼,11, 一年前发布,770000.0,"10,705元/平",近地铁 VR看装修 房本满五年 随时看房 
西客站中低楼层  出行方便交通便利,绿地中央广场四区,西客站,2室2厅 ,90.61, 南 , 简装 ,32, 板楼,7, 9个月以前发布,1150000.0,"12,692元/平",近地铁 VR看装修 房本满两年 随时看房 
南向两居室   西客站交通方便     业主急售,绿地中央广场三区,西客站,2室2厅 ,91.91, 南 , 简装 ,31, 板楼,0, 4个月以前发布,1220000.0,"13,274元/平",近地铁 VR看装修 房本满两年 随时看房 
此房户型方正，单位宿舍，出行便利，一梯两户，小高层,经十西路消防局宿舍,世购,2室2厅 ,95.05, 南 北 , 精装 ,11, 板楼,11, 5个月以前发布,1350000.0,"14,204元/平",近地铁 VR看装修 房本满两年 随时看房 
二环内两室 南北通透 双气 有地上车位带地下室,汇馨祥和苑,匡山区,2室1厅 ,63.9, 南 北 , 简装 ,7, 塔楼,16, 一年前发布,830000.0,"12,990元/平",VR看装修 房本满五年 
两室朝阳 南北通透 双气三线 采光好,汇馨祥和苑,匡山区,2室2厅 ,83.3, 南 北 , 简装 ,7, 板楼,23, 一年前发布,1050000.0,"12,606元/平",VR看装修 房本满五年 随时看房 
园丁小区 多层带小院 户型方正 生活成本低,园丁小区(槐荫区),腊山,2室2厅 ,87.49, 南 北 , 简装 ,7, 板楼,15, 9个月以前发布,980000.0,"11,202元/平",VR房源 房本满五年 随时看房 
恒大雅苑 3室1厅 南,恒大雅苑,西客站,3室1厅 ,96.26, 南 , 其他 ,23, 板楼,4,15,1250000.0,"12,986元/平",近地铁 VR看装修 随时看房 
御景城+南北通透+中间楼层+公摊小+看房方便,路劲御景城,中大槐树,2室2厅 ,92.38, 南 北 , 其他 ,15, 板楼,1, 5个月以前发布,1700000.0,"18,403元/平",近地铁 VR看装修 房本满两年 随时看房 
精装小三居 配套完善 环境优美,恒大雅苑,西客站,3室1厅 ,95.1, 南 , 精装 ,26, 板楼,0,16,1300000.0,"13,670元/平",VR看装修 随时看房 
泉城花园 一室一厅 无噪音 户型方正,泉城花园,匡山区,1室1厅 ,57.0, 南 , 其他 ,12, 板楼,5, 1个月以前发布,780000.0,"13,685元/平",VR看装修 房本满两年 随时看房 
西市场 人民医院 嘉华购物 双气 两室朝阳 满五唯一,纬十一路188到351号,西市场,2室1厅 ,77.12, 南 北 , 简装 ,6, 板楼,4, 一年前发布,990000.0,"12,838元/平",VR看装修 房本满五年 随时看房 
美里新居 1室1厅 南,美里新居,美里湖,1室1厅 ,62.24, 南 , 简装 ,7, 板楼,4, 5个月以前发布,720000.0,"11,569元/平",VR看装修 房本满五年 随时看房 
万科物业 ，采光好，生活方便，24小时安保，楼层好,西城济水上苑,西客站,3室2厅 ,122.58, 南 北 , 毛坯 ,33, 板楼,12, 2个月以前发布,1690000.0,"13,787元/平",VR看装修 房本满两年 随时看房 
世佳戎居  中高楼层  采光好  精装修  带车位,世佳戎居,段店,2室1厅 ,91.78, 南 北 , 精装 ,16, 板楼,6, 7个月以前发布,1240000.0,"13,511元/平",VR看装修 房本满五年 随时看房 
精装修，质优价廉，交通便利，环境好！！,映月紫云城,南辛庄,2室2厅 ,80.28, 南 北 , 精装 ,18, 板楼,10, 8个月以前发布,1650000.0,"20,554元/平",VR看装修 房本满两年 随时看房 
省立医院    经三路310号    双气   中间楼层,经三路310号,西市场,2室2厅 ,90.62, 南 北 , 精装 ,6, 板楼,9, 6个月以前发布,1220000.0,"13,463元/平",VR看装修 房本满五年 随时看房 
南北通透，楼层好，大阳台，环境舒适，适合居住,龙湖名景台,西客站,3室2厅 ,130.57, 南 北 , 毛坯 ,27, 板楼,6, 4个月以前发布,2100000.0,"16,084元/平",VR看装修 房本满两年 随时看房 
槐苑小区双气，2室朝阳。带平台和地下室，房龄02年,槐苑小区,营市街,2室1厅 ,59.32, 南 , 简装 ,7, 板楼,23, 7个月以前发布,660000.0,"11,127元/平",VR房源 房本满两年 随时看房 
济水三室  产权清晰 万科物业好 生活方便,西城济水上苑,西客站,2室1厅 ,120.33, 南 北 , 毛坯 ,29, 板楼,1, 2个月以前发布,1500000.0,"12,466元/平",近地铁 VR看装修 房本满两年 随时看房 
儿童医院和谐商圈   地段繁华 南北户型 舒适三室,凯旋新城东区,南辛庄,3室2厅 ,95.74, 南 北 , 精装 ,11, 板楼,11, 1个月以前发布,2060000.0,"21,517元/平",VR看装修 房本满五年 随时看房 
道德商城 1室1厅 南,道德商城,和谐广场,1室1厅 ,50.0, 南 , 其他 ,7, 板塔结合,1,11,700000.0,"14,000元/平",VR看装修 随时看房 
中建锦绣城 2室1厅 南,中建锦绣城,西客站,2室1厅 ,89.65, 南 , 精装 ,30, 板楼,3,23,1360000.0,"15,171元/平",VR看装修 随时看房 
龙湖精装三居室随时看房中楼层视野好,龙湖名景台,西客站,3室2厅 ,130.57, 南 北 , 精装 ,27, 板楼,11,25,1930000.0,"14,782元/平",VR房源 随时看房 
此房南北通透，视野好，交通便利,匡山小区,匡山区,2室2厅 ,77.52, 南 北 , 简装 ,6, 板楼,32, 7个月以前发布,780000.0,"10,062元/平",VR看装修 房本满五年 随时看房 
槐村街7到9号正规2室，高楼层无遮挡，采光好,槐村街7到9号,中大槐树,2室1厅 ,66.08, 南 北 , 简装 ,6, 板楼,5, 一年前发布,660000.0,"9,988元/平",VR看装修 房本满五年 随时看房 
恒生望山+毛坯未住+封闭社区+交通便利+看房方便,恒生望山,匡山区,2室2厅 ,92.45, 南 北 , 毛坯 ,26, 板楼,27, 一年前发布,1170000.0,"12,656元/平",VR看装修 房本满两年 随时看房 
店长推荐 电力宿舍 正规两室两厅 南北通透,裕园小区,西市场,3室2厅 ,112.49, 南 北 , 精装 ,6, 板楼,2, 10个月以前发布,1800000.0,"16,002元/平",VR看装修 房本满五年 随时看房 
外海  户型方正  多层  采光充足   有地下室,外海中央花园一期,腊山,2室2厅 ,99.23, 南 北 , 其他 ,6, 板楼,6, 10个月以前发布,1370000.0,"13,807元/平",VR看装修 房本满两年 随时看房 
交通出行，紧挨着交通大动脉经十路,阳光100国际新城G区,阳光100区,3室2厅 ,151.64, 东南 , 简装 ,28, 塔楼,12, 一年前发布,2400000.0,"15,827元/平",VR看装修 房本满五年 随时看房 
香桔市，精装小户型，诚意出售，低楼层，看房方便急售,香桔市,营市街,1室1厅 ,44.67, 南 , 简装 ,11, 板楼,30, 一年前发布,590000.0,"13,208元/平",VR看装修 房本满五年 随时看房 
纯南向 采光好 双气三线 交通生活便利,美里新居,美里湖,1室1厅 ,54.05, 南 , 简装 ,11, 板楼,35, 一年前发布,610000.0,"11,286元/平",VR看装修 房本满五年 随时看房 
阳光100H区 南向精装两室 满两年 带地下室,阳光100国际新城H区,阳光100区,2室1厅 ,81.67, 南 , 精装 ,27, 板塔结合,2, 4个月以前发布,1700000.0,"20,816元/平",VR看装修 房本满两年 随时看房 
