低楼层，南北通透，户型好，采光好！,青年东路5号院,文化西路,3室1厅 ,74.68, 南 北 , 简装 ,5, 板楼,22, 1个月以前发布,1920000.0,"25,710元/平",VR看装修 房本满五年 随时看房 
畅然居 2室2厅 南 北,畅然居,化纤厂路,2室2厅 ,92.86, 南 北 , 简装 ,7, 板楼,1, 4个月以前发布,1600000.0,"17,231元/平",VR看装修 房本满两年 
中楼层，大院停车位方便，有地下室，近经十路,文东苑,文化东路,2室2厅 ,111.46, 南 北 , 其他 ,5, 板楼,2, 4个月以前发布,2810000.0,"25,211元/平",VR看装修 房本满两年 
四室朝阳 南北通透 采光通风好 可停车,和平新村,历东,6室1厅 ,160.03, 南 北 , 简装 ,3, 板楼,17, 6个月以前发布,4100000.0,"25,621元/平",VR房源 房本满五年 
此房满五年且唯一 中间楼层 价格含储藏室和两个车位,盛景家园,盛福,4室1厅 ,216.21, 南 北 , 精装 ,8, 板塔结合,3, 1个月以前发布,5500000.0,"25,439元/平",VR看装修 房本满五年 
单位宿舍 南北通透 采光好 停车方便 出行方便 房龄新,按察司街94-1号,明湖区,3室2厅 ,138.11, 南 北 , 其他 ,6, 板楼,3, 11个月以前发布,4190000.0,"30,339元/平",VR看装修 房本满五年 
精装三居 交通便利 户型方正 南北通透 楼层好 配套全,融基竹园馨居,文化东路,3室2厅 ,117.16, 南 北 , 其他 ,6, 板楼,15, 7个月以前发布,2990000.0,"25,521元/平",VR看装修 房本满两年 
4室电梯房 楼层好 采光足 视野开阔 格局好,华森碧云天,姚家,4室2厅 ,147.0, 南 北 , 其他 ,28, 塔楼,53, 一年前发布,2580000.0,"17,552元/平",VR房源 房本满五年 
泉城广场 趵突泉  正觉寺小区  两室两厅 诚意出售,正觉寺小区二区,佛山街,2室2厅 ,74.9, 南 北 , 简装 ,6, 板楼,25, 一年前发布,1790000.0,"23,899元/平",VR看装修 房本满五年 
纯燕山/09年房龄/好楼层/带产权地下室/电梯房采光佳,融基书香苑,文化东路,3室2厅 ,134.28, 南 北 , 精装 ,15, 板楼,10, 5个月以前发布,3950000.0,"29,417元/平",VR看装修 房本满两年 
燕山公馆 2室2厅 南 北,燕山公馆,燕山,2室2厅 ,165.0, 南 北 , 简装 ,22, 板楼,1,12,4300000.0,"26,061元/平",VR看装修 
中高楼层 南北通透 免费地下车位 内部餐厅定时门诊,洄龙小区,旅游路,3室2厅 ,160.98, 南 北 , 简装 ,18, 板楼,79, 一年前发布,4380000.0,"27,209元/平",VR看装修 房本满两年 
三室两厅一卫 低楼层 客厅朝阳 位置好,盛福花园,盛福,3室2厅 ,112.78, 南 北 , 其他 ,6, 板楼,2, 1个月以前发布,2100000.0,"18,621元/平",VR看装修 房本满两年 
千佛山植物园，老山工南院宿舍，一楼带30平小院,经十路18182号,千佛山,3室1厅 ,71.72, 南 北 , 简装 ,3, 暂无数据,71, 一年前发布,2350000.0,"32,767元/平",VR房源 房本满两年 
采光充足 视野好 南北通透 户型方正 业主诚心出售,海尔绿城全运村锦兰园,奥体中心,3室2厅 ,150.62, 南 北 , 精装 ,18, 板楼,24, 3个月以前发布,5350000.0,"35,520元/平",VR看装修 房本满两年 
此房楼栋位置好 小区绿化高 环境优美 交通便利,绿城百合花园,盛福,3室2厅 ,147.46, 南 西 北 , 精装 ,18, 板楼,50, 4个月以前发布,3300000.0,"22,379元/平",VR看装修 房本满两年 
户型格局方正，配套设施齐全，采光充足,明湖小区东区四区,明湖区,4室2厅 ,147.63, 南 北 , 简装 ,6, 板楼,17, 6个月以前发布,3300000.0,"22,354元/平",VR看装修 房本满五年 
大明湖南门  明湖小区三区 三室一厅 看房方便,明湖小区东区三区,明湖区,3室1厅 ,69.03, 南 北 , 简装 ,6, 板楼,2, 5个月以前发布,1730000.0,"25,062元/平",VR看装修 房本满五年 
大明湖畔、中间楼层、看房子方便,长盛小区南区二区,东关,2室1厅 ,65.76, 南 北 , 其他 ,5, 板楼,3, 4个月以前发布,1350000.0,"20,530元/平",VR看装修 房本满五年 
历下区 三居室 交通便利 南北通透,祥泰森林河湾,化纤厂路,3室2厅 ,95.03, 南 北 , 精装 ,18, 板楼,41, 10个月以前发布,1830000.0,"19,258元/平",VR看装修 房本满五年 
历下区，南北通透，交通便利，视野开阔。,科苑小区北区,祝甸,2室1厅 ,87.0, 南 北 , 简装 ,6, 板楼,4, 一年前发布,1450000.0,"16,667元/平",VR看装修 房本满五年 
经十路，电梯房 精装四室，通透 ，视野开阔，交通便利,华森碧云天,姚家,4室2厅 ,176.75, 南 北 , 简装 ,28, 塔楼,67, 一年前发布,3150000.0,"17,822元/平",VR房源 房本满五年 
房子证满五年，南北通透三室，星河市场南边 历下区,华阳路,七里河,3室2厅 ,119.76, 南 北 , 简装 ,7, 板楼,53, 一年前发布,1510000.0,"12,609元/平",VR看装修 房本满五年 
精装修+带地下室+业主诚心出售+价格可聊,中润裕华园,环山,2室1厅 ,78.07, 南 北 , 精装 ,6, 板楼,62, 一年前发布,1620000.0,"20,751元/平",VR看装修 房本满五年 
开元西区山景房 满五年双气非顶 视野采光好通透双阳台,开元西区,环山,2室2厅 ,108.0, 南 北 , 简装 ,6, 板楼,5, 3个月以前发布,2590000.0,"23,982元/平",VR看装修 房本满五年 
山景房南北通透 有证免高税 低密度社区 配套全齐,黄金99华府,旅游路,3室2厅 ,156.96, 南 北 , 其他 ,11, 板楼,10, 一年前发布,5300000.0,"33,767元/平",VR看装修 房本满两年 
大明湖东岸 长盛北区 护城河边 看房方便,长盛北区,东关,3室2厅 ,91.4, 南 , 简装 ,6, 板楼,6, 一年前发布,1670000.0,"18,272元/平",VR看装修 房本满两年 
历下区  东来花园  砚泉 单价低 户型好,东莱花园,七里河,3室2厅 ,136.07, 南 北 , 简装 ,7, 板楼,14, 一年前发布,2034000.0,"14,949元/平",VR看装修 房本满五年 
中润低层南客厅三室 一梯一户 带30平地下室 租赁车位,中润裕华园,环山,3室2厅 ,173.19, 南 北 , 简装 ,6, 板楼,3, 7个月以前发布,4700000.0,"27,138元/平",VR看装修 房本满五年 
新出 建筑大学老校  大院停车 绿化好 精装双气,历山路96号,历东,2室1厅 ,54.47, 南 北 , 其他 ,6, 板楼,8, 11个月以前发布,1560000.0,"28,640元/平",VR看装修 房本满五年 
历下区大辛河西岸，三居室，小高层，诚意出售！,祥泰森林河湾,化纤厂路,3室2厅 ,118.86, 南 北 , 简装 ,18, 板楼,0, 1个月以前发布,2500000.0,"21,034元/平",VR看装修 房本满五年 
泉城公园东经十路舜耕路路口税务局单位宿舍好房出售,舜耕路2至12号,千佛山,3室1厅 ,87.73, 南 北 , 简装 ,5, 板楼,21, 10个月以前发布,2200000.0,"25,077元/平",VR看装修 房本满五年 
千佛山商品房 房龄新带装修 低楼层停车方便,山润家园,环山,3室2厅 ,164.3, 南 北 , 精装 ,6, 板楼,8, 一年前发布,4280000.0,"26,050元/平",VR房源 房本满五年 
千佛山西路单位宿舍，精装修，两室朝阳，带地下室,千佛山西路10号,千佛山,3室2厅 ,136.0, 南 , 其他 ,5, 板楼,13, 一年前发布,3800000.0,"27,942元/平",VR看装修 房本满五年 
文化东路25-7号 独楼独院 停车方便 位置安静 采光好,文化东路25-7号,甸柳,3室2厅 ,120.78, 南 北 , 简装 ,6, 板楼,17, 一年前发布,3200000.0,"26,495元/平",VR看装修 房本满五年 
精装电梯房！带储藏室 直接住 楼层高视野开阔看佛慧山,开元西区,环山,2室2厅 ,97.9, 南 北 , 精装 ,7, 板楼,8, 6个月以前发布,2650000.0,"27,069元/平",VR看装修 房本满两年 
房子南北通透 交警单位宿舍 人文素质高 环境安静,静居苑小区,旅游路,3室2厅 ,180.0, 南 北 , 精装 ,5, 板楼,8, 一年前发布,4300000.0,"23,889元/平",VR房源 房本满五年 
羊头峪路2号舜山园两室精装修出售,舜山园,环山,2室2厅 ,92.49, 南 北 , 精装 ,6, 板楼,67, 一年前发布,2520000.0,"27,247元/平",VR看装修 房本满五年 
泺源大街南邻 佛山苑四区 单位宿舍 诚心出售 随时看房,佛山苑四区,佛山街,2室1厅 ,79.49, 东 西 , 简装 ,6, 板楼,3, 7个月以前发布,1860000.0,"23,400元/平",VR看装修 房本满五年 
山师东路 位置好 交通便利配套成熟 户型好用价格便宜,山师东路6号,文化东路,2室1厅 ,70.13, 南 北 , 其他 ,8, 板楼,4, 2个月以前发布,1750000.0,"24,954元/平",VR看装修 房本满五年 
华能路 次新房 历城法院旁御华嘉苑 三号线地铁,御华嘉苑,化纤厂路,3室1厅 ,112.31, 南 北 , 其他 ,17, 板楼,4, 2个月以前发布,2330000.0,"20,747元/平",VR看装修 房本满两年 
商品房 大平层 户型方正 视野采光好 洋房,燕东山庄,燕山,4室2厅 ,193.72, 南 北 , 精装 ,4, 板楼,8, 8个月以前发布,5950000.0,"30,715元/平",VR看装修 房本满五年 
精装修，居住环境适宜，交通方便，户型南北通透采光好,静居苑小区,旅游路,3室2厅 ,163.28, 南 北 , 其他 ,6, 板楼,7, 2个月以前发布,4100000.0,"25,111元/平",VR看装修 房本满五年 
山大路单位宿舍 低楼层 精装修 看房方便,山大路212号,甸柳,2室1厅 ,70.87, 南 , 其他 ,5, 板楼,5, 6个月以前发布,1680000.0,"23,706元/平",VR看装修 房本满五年 
名士豪庭2区 靠山靠别墅 带院子,名士豪庭2区,浆水泉区,3室2厅 ,162.03, 南 北 , 其他 ,14, 板楼,45, 3个月以前发布,3980000.0,"24,564元/平",VR房源 房本满两年 
燕山盛世方正两室 无抵押无贷款 产权地下室11平,燕山盛世,燕山,2室2厅 ,97.5, 南 , 简装 ,28, 板楼,11, 一年前发布,2850000.0,"29,231元/平",VR看装修 房本满两年 
中润裕华园 正沟通电梯 使用面积大 无记录 有地下室,中润裕华园,环山,3室2厅 ,105.54, 南 北 , 简装 ,7, 板楼,47, 5个月以前发布,2100000.0,"19,898元/平",VR看装修 房本满五年 
坐拥佛慧山，两年不错的户型，半山花园式社区，,永大清华园,环山,3室2厅 ,174.24, 南 北 , 精装 ,6, 板楼,46, 一年前发布,4900000.0,"28,123元/平",VR看装修 房本满五年 
此房满五年无高税 单位宿舍 大院停车 出门就是泉城路,明湖小区东区四区,明湖区,3室2厅 ,112.0, 南 北 , 其他 ,6, 板楼,2,14,3000000.0,"26,786元/平",VR看装修 
中间楼层采光充足，大院好停车。,山师东路12号院,文化东路,2室1厅 ,59.43, 南 北 , 其他 ,5, 板楼,5, 3个月以前发布,1360000.0,"22,885元/平",VR看装修 房本满五年 
花园小区 11层小高层  三面环山  有车位  有地下室,汇福山庄,凤山路,3室2厅 ,125.74, 南 北 , 其他 ,11, 板楼,15, 一年前发布,2400000.0,"19,088元/平",VR看装修 房本满两年 
低楼层   户型方正 南北通透 精装两室 带10平阳光房,燕子山西路44号,燕山,2室1厅 ,66.94, 南 北 , 其他 ,4, 板楼,39, 9个月以前发布,1720000.0,"25,695元/平",VR看装修 房本满五年 
万科城三期 中高楼 视野棒 3室2卫 3面朝阳,济南万科城,化纤厂路,3室2厅 ,109.19, 南 北 , 精装 ,34, 板楼,24, 2个月以前发布,2570000.0,"23,537元/平",近地铁 VR看装修 房本满两年 
山大校园内 采光充足 户型方正 免费停车 双气,山医宿舍,文化西路,3室0厅 ,67.14, 南 北 , 其他 ,4, 板楼,17, 4个月以前发布,1590000.0,"23,682元/平",VR看装修 房本满五年 
燕山立交桥 单位宿舍 房龄新 封闭式小区 电梯房,浆水泉路11号,燕山,6室3厅 ,239.59, 南 北 , 精装 ,12, 板楼,9, 6个月以前发布,7600000.0,"31,721元/平",VR房源 房本满五年 
历下华阳路三室南北通透中楼层电梯房采光充足,华阳新区,化纤厂路,3室2厅 ,101.97, 南 北 , 简装 ,21, 板楼,52, 9个月以前发布,1710000.0,"16,770元/平",VR看装修 房本满五年 
海尔绿城全运村桂花园，看房方便。,海尔绿城全运村桂花园,奥体中心,3室2厅 ,133.42, 南 北 , 其他 ,7, 板楼,21, 4个月以前发布,4150000.0,"31,105元/平",近地铁 VR看装修 房本满两年 
山师二附宿舍 独立大院 户型方正 诚心出售,师东村20号,文化东路,3室1厅 ,100.12, 南 , 简装 ,5, 板楼,18, 6个月以前发布,2000000.0,"19,977元/平",VR看装修 房本满五年 
逸城山色 2室1厅 南 北,逸城山色,旅游路,2室1厅 ,98.23, 南 北 , 其他 ,11, 板楼,3,8,2850000.0,"29,014元/平",VR房源 
千佛山脚下 精装修 通透 好楼层,千佛山东路17号,千佛山,2室2厅 ,97.04, 南 北 , 其他 ,4, 板楼,28, 11个月以前发布,2780000.0,"28,648元/平",VR看装修 房本满五年 
停车方便，南北通透，商贸学院内，房子可侧大,山东省济南商贸学校宿舍,凤山路,3室2厅 ,149.0, 南 北 , 简装 ,6, 板楼,13, 一年前发布,2600000.0,"17,450元/平",VR看装修 房本满五年 
顶楼复式诚心出售，精装修公摊小 花园洋房,海尔绿城全运村桂花园,奥体中心,3室2厅 ,154.05, 南 北 , 精装 ,7, 板楼,188, 一年前发布,4300000.0,"27,914元/平",近地铁 VR房源 房本满五年 
环山路环山盛景两室看山景好房出售,环山盛景,环山,2室2厅 ,111.27, 南 北 , 简装 ,18, 板塔结合,15, 4个月以前发布,3780000.0,"33,972元/平",VR看装修 房本满五年 
"中间楼层,没有遮挡,采光好通风好,交通便利,配套齐全",三庆汇文轩,文化东路,3室2厅 ,159.62, 南 , 精装 ,24, 塔楼,16, 一年前发布,3500000.0,"21,928元/平",VR看装修 房本满两年 
带车位地下室诚心出售。楼层好位置好,花园小镇,化纤厂路,2室1厅 ,79.42, 南 北 , 简装 ,33, 板楼,18, 10个月以前发布,1520000.0,"19,139元/平",近地铁 VR看装修 房本满五年 
新出 师大新村 校长楼 带产权地上车库 满五唯一,师大新村,银座花园,5室2厅 ,250.41, 南 北 , 其他 ,5, 板楼,31, 一年前发布,7500000.0,"29,951元/平",VR房源 房本满两年 
花园路林业局宿舍，诚意出售，采光不错,花园路24-1（林业局宿舍）,七里河,3室2厅 ,125.93, 南 北 , 精装 ,6, 板楼,19, 11个月以前发布,1680000.0,"13,341元/平",VR看装修 房本满五年 
两室朝南，中间楼层，满五年免高税无抵押，诚意出售,科苑小区南区,化纤厂路,3室1厅 ,93.04, 南 北 , 简装 ,6, 板楼,8, 8个月以前发布,1580000.0,"16,982元/平",VR看装修 房本满五年 
历下区 正规三室 南北通透 楼层好 采光好,尚品燕园,盛福,3室2厅 ,111.0, 南 北 , 精装 ,25, 板楼,151, 3个月以前发布,1899000.0,"17,109元/平",近地铁 VR看装修 房本满两年 
绿城百合花园 中间楼层 大4室 精装自住,绿城百合花园,盛福,4室2厅 ,173.98, 南 北 , 精装 ,24, 板楼,16, 4个月以前发布,4200000.0,"24,141元/平",VR看装修 房本满五年 
万科精装三室，配套设施齐全，交通便利,济南万科城,化纤厂路,3室2厅 ,113.0, 南 , 其他 ,34, 板楼,1,15,2590000.0,"22,921元/平",近地铁 VR看装修 
历山路 山大南路 绿景嘉园 舜怡佳园,历山路60号院,山大路,3室1厅 ,90.49, 南 , 其他 ,4, 板楼,0, 一年前发布,2700000.0,"29,838元/平",VR看装修 房本满五年 
高楼层，精装大四室，通透性强，采光视野好,中海紫御东郡,盛福,4室2厅 ,140.89, 南 北 , 简装 ,18, 板楼,13, 2个月以前发布,3000000.0,"21,294元/平",近地铁 VR看装修 房本满五年 
历山路山大南路东仓，解二 双气大院停车三室通透,历山路72号,山大路,3室1厅 ,83.05, 南 北 , 精装 ,6, 板楼,1, 4个月以前发布,2240000.0,"26,972元/平",VR看装修 房本满五年 
东仓小区 一楼带院 小户型 山大南路 历山路,东仓小区,东关,1室1厅 ,47.07, 南 , 其他 ,6, 板楼,1, 一年前发布,1300000.0,"27,619元/平",VR房源 房本满五年 
单位宿舍 户型方正 带地下室 经十路出行方便,燕东新路6号,燕山,2室2厅 ,79.52, 南 北 , 简装 ,7, 板楼,22, 10个月以前发布,1780000.0,"22,385元/平",VR看装修 房本满五年 
青后小区二区 3室1厅 南,青后小区二区,青后,3室1厅 ,80.0, 南 , 其他 ,7, 板楼,2, 1个月以前发布,2600000.0,"32,500元/平",VR房源 房本满五年 
经十路南 万象城旁 名士一区高层观景南北通透三居,名士豪庭1区,浆水泉区,3室2厅 ,138.58, 南 北 , 精装 ,18, 板楼,14, 1个月以前发布,3600000.0,"25,978元/平",VR看装修 房本满五年 
小区环境好，停车方便，三居室精装修,闵子骞路25号,山大路,3室1厅 ,77.76, 南 北 , 其他 ,5, 板楼,0,1,2700000.0,"34,723元/平",VR看装修 房本满五年 
房主诚心卖 位置好 环境优美 电梯房龄新,达盛鑫苑,山大路,4室2厅 ,206.05, 南 , 其他 ,16, 塔楼,29, 一年前发布,3200000.0,"15,531元/平",VR房源 房本满五年 
齐鲁医院 山医宿舍  大学  校园里  3室  1楼带院,山医宿舍,文化西路,3室1厅 ,73.56, 南 北 , 简装 ,5, 板楼,32, 6个月以前发布,2550000.0,"34,666元/平",VR房源 房本满两年 
济南历下优秀教育资源，诚心出售免个税，欢迎大家咨询,七家村,青后,3室1厅 ,77.02, 南 北 , 简装 ,5, 板楼,9, 一年前发布,2200000.0,"28,565元/平",VR看装修 房本满五年 
历下 科苑北区 非顶层 户型方正 带地下室 价格合适,科苑小区北区,祝甸,2室2厅 ,95.45, 南 北 , 精装 ,7, 板楼,4, 1个月以前发布,1300000.0,"13,620元/平",VR看装修 房本满两年 
经十路 山工东院宿舍  电梯房  3室 双气,经十路17513号,文化西路,3室2厅 ,113.4, 东南 , 其他 ,16, 板楼,17, 4个月以前发布,3890000.0,"34,304元/平",VR看装修 房本满五年 
复式结构！南北通透大四室！精装修！距离离蒙正200米,银座花园,银座花园,4室2厅 ,178.21, 南 北 , 其他 ,6, 板楼,12, 1个月以前发布,3690000.0,"20,706元/平",VR房源 房本满五年 
历下区 区委宿舍  中层  储藏室  双气   急售,东仓小区,东关,2室1厅 ,75.14, 南 北 , 其他 ,6, 板楼,2, 4个月以前发布,1560000.0,"20,762元/平",VR看装修 房本满五年 
文化西路  山工宿舍   2室1厅  南北通透,经十路17923号,文化西路,2室1厅 ,64.32, 南 北 , 其他 ,5, 板楼,34, 一年前发布,1450000.0,"22,544元/平",VR看装修 房本满两年 
房子精装修 中间楼层房主诚心出售 看房提前联系,历山路48-3号,山大路,2室2厅 ,98.53, 南 北 , 精装 ,6, 板楼,12, 5个月以前发布,1980000.0,"20,096元/平",VR看装修 房本满五年 
文化西路，山工北院，南北通透，校园环境，好停车,经十路17923号,文化西路,3室1厅 ,82.01, 南 北 , 其他 ,5, 暂无数据,35, 一年前发布,2100000.0,"25,607元/平",VR看装修 房本满两年 
棋盘4区一楼带院好房！南北朝向，有钥匙随时看,棋盘小区四区,佛山街,1室1厅 ,50.48, 南 北 , 其他 ,7, 板楼,8, 11个月以前发布,1100000.0,"21,791元/平",VR看装修 房本满五年 
小区中间位置、多层二楼、地下室3平、大院免费停车,燕东新路6号,燕山,2室2厅 ,85.09, 南 北 , 简装 ,7, 板楼,39, 一年前发布,1900000.0,"22,330元/平",VR看装修 房本满五年 
必看历下双地铁+好楼层三居室+绿城物业+绿城园林,绿城百合花园,盛福,3室2厅 ,143.66, 南 西 北 , 其他 ,21, 板楼,1, 4个月以前发布,3350000.0,"23,319元/平",VR看装修 房本满两年 
绿城百合 精装三居室 G户型 保养很好 落地窗 诚意出售,绿城百合花园,盛福,3室2厅 ,139.45, 南 , 精装 ,18, 板楼,17, 一年前发布,3800000.0,"27,250元/平",VR看装修 房本满两年 
历下区 好楼层   三室朝阳 户型方正  采光好 得房率高,利农花园,山大路,3室2厅 ,153.27, 南 , 其他 ,4, 板楼,14, 7个月以前发布,3000000.0,"19,574元/平",VR看装修 房本满五年 
纯燕山 房龄新 精装 拎包入住 楼层好采光好 诚意出售,融基书香苑,文化东路,2室2厅 ,91.19, 南 , 精装 ,14, 板楼,9, 6个月以前发布,2800000.0,"30,706元/平",VR看装修 房本满五年 
力高国际精装三居+南北通透+业主急售,力高国际,盛福,3室2厅 ,122.15, 南 北 , 简装 ,31, 板楼,44, 4个月以前发布,2000000.0,"16,374元/平",近地铁 VR房源 房本满两年 
花园路22号 3室1厅 南,花园路22号,七里河,3室1厅 ,82.63, 南 , 简装 ,5, 板楼,15, 一年前发布,1280000.0,"15,491元/平",VR看装修 房本满五年 
山水庭院头号小三居！公摊小！精装棒拎包住 山大辅仁,世家山水庭院,旅游路,2室2厅 ,100.19, 南 北 , 其他 ,6, 板楼,0,6,3020000.0,"30,143元/平",VR看装修 
此房产权明晰，工业南路化纤厂路，位置好，交通便利。,茂岭花苑,茂岭山,2室1厅 ,67.7, 南 , 简装 ,11, 板塔结合,8, 9个月以前发布,1200000.0,"17,726元/平",VR看装修 房本满五年 
历下大润发西 院子是无线电厂宿舍，大院内人员素质高,东舍坊街118,佛山街,3室1厅 ,79.57, 南 北 , 简装 ,6, 板楼,30, 一年前发布,1880000.0,"23,627元/平",VR房源 房本满五年 
高档精装历下CBD旁大三居两厅两卫有21平地下室有新风,花园小镇,化纤厂路,3室2厅 ,136.67, 南 北 , 精装 ,33, 板楼,91, 9个月以前发布,2790000.0,"20,415元/平",近地铁 VR看装修 房本满五年 
单位宿舍，大院传达，停车方便，精装修,历山路134号,文化东路,3室1厅 ,96.54, 南 北 , 其他 ,5, 板楼,17, 一年前发布,2300000.0,"23,825元/平",VR看装修 房本满五年 
一梯一户 带全套家具 精装修 带两个固定车位,静居苑小区,旅游路,3室2厅 ,159.27, 南 北 , 精装 ,6, 板楼,58, 一年前发布,3800000.0,"23,859元/平",VR看装修 房本满五年 
精装修 光线好 诚心卖 小高层 人车分流 带地下室,融基书香苑,文化东路,2室2厅 ,91.41, 南 , 精装 ,14, 板楼,31, 11个月以前发布,2700000.0,"29,538元/平",VR看装修 房本满五年 
东关老东门长盛南区，大院免费停车，精装修客厅方正,长盛小区南区一区,东关,2室2厅 ,108.07, 南 北 , 其他 ,7, 板楼,21, 11个月以前发布,1660000.0,"15,361元/平",VR看装修 房本满五年 
采光好，视野好！电梯房，户型好用！居住品质高！,文华园,文化东路,2室2厅 ,89.58, 南 , 其他 ,18, 板楼,18, 9个月以前发布,2980000.0,"33,267元/平",VR看装修 房本满五年 
千佛山下 户型方正，环境优美 大院免费停车,千佛山西路28号,千佛山,2室2厅 ,109.53, 南 北 , 其他 ,5, 板楼,33, 11个月以前发布,2650000.0,"24,195元/平",VR看装修 房本满五年 
万科精装三室，楼层好，采光好，大品牌物业,济南万科城,化纤厂路,3室1厅 ,117.74, 南 , 其他 ,34, 板楼,13, 5个月以前发布,2800000.0,"23,782元/平",近地铁 VR看装修 房本满两年 
5层洋房，环境优美，诚心出售。,海尔绿城全运村桂花园,奥体中心,4室2厅 ,141.73, 南 , 其他 ,5, 板楼,10, 3个月以前发布,4750000.0,"33,515元/平",近地铁 VR房源 房本满五年 
历山路128号 3室2厅 北,历山路128号,青后,3室2厅 ,150.47, 北 , 其他 ,25, 板楼,2, 1个月以前发布,4700000.0,"31,236元/平",VR房源 房本满五年 
此房 视野开阔 采光充足 交通便利,祥泰森林河湾,化纤厂路,3室2厅 ,118.4, 南 北 , 精装 ,18, 板楼,73, 一年前发布,2290000.0,"19,342元/平",VR看装修 房本满五年 
龙奥全运村  精装山景大宅 方正通透三居 证满两年,海尔绿城全运村锦兰园,奥体中心,3室2厅 ,142.93, 南 北 , 其他 ,15, 板楼,6, 2个月以前发布,4850000.0,"33,933元/平",VR看装修 房本满两年 
文化东路 电梯洋房  三室朝阳 二环东路  配套齐全,三箭吉祥苑,甸柳,4室2厅 ,230.97, 南 北 , 简装 ,12, 板楼,0,11,7000000.0,"30,307元/平",VR房源 
历下区 绿城百合 精装三居室 G户型,绿城百合花园,盛福,3室2厅 ,126.23, 南 北 , 其他 ,18, 板楼,24, 1个月以前发布,2890000.0,"22,895元/平",近地铁 VR看装修 房本满五年 
齐鲁医院省中医 两室一厅 中间楼层 装修不错 全明户型,南圩门外街,文化西路,2室1厅 ,68.72, 南 北 , 其他 ,6, 板楼,3, 1个月以前发布,1720000.0,"25,030元/平",VR看装修 房本满五年 
精装四室大平层，南北通透，视野好，采光充足,名士豪庭2区,浆水泉区,4室2厅 ,214.51, 南 北 , 精装 ,22, 板楼,59, 一年前发布,6100000.0,"28,437元/平",VR房源 房本满五年 
历下区新馨家园 中楼层 三居室，看房方便！,新馨家园,化纤厂路,3室2厅 ,105.67, 南 北 , 简装 ,7, 板楼,8, 3个月以前发布,1970000.0,"18,643元/平",VR看装修 房本满两年 
必看！历下高档社区+居住密度低+视野开阔+业主诚售,绿城百合花园,盛福,3室2厅 ,171.58, 南 北 , 精装 ,24, 板楼,0, 1个月以前发布,3990000.0,"23,255元/平",VR看装修 房本满五年 
单独大院  中间楼层  户型方正,宏泰小区,文化东路,3室2厅 ,130.65, 南 北 , 其他 ,7, 板楼,7,10,3480000.0,"26,637元/平",VR看装修 
下河涯街2号 2室1厅 南 北,下河涯街2号,青后,2室1厅 ,58.08, 南 北 , 其他 ,6, 板楼,2,11,1450000.0,"24,966元/平",VR房源 
此房满两年，免高税，位置好，采光足，业主精装。,海尔绿城全运村锦兰园,奥体中心,3室2厅 ,164.69, 南 北 , 其他 ,18, 板楼,2, 2个月以前发布,6200000.0,"37,647元/平",VR看装修 房本满两年 
单位宿舍的房子， 经十路上 ，南北通透，一楼带院,千佛山路2号,文化西路,2室1厅 ,55.44, 南 北 , 简装 ,3, 板楼,48, 一年前发布,1380000.0,"24,892元/平",VR看装修 房本满五年 
历下区茗筑华府，浪潮团购房，精装小三居！,茗筑华府,化纤厂路,3室2厅 ,101.54, 南 西 北 , 简装 ,20, 板楼,25, 5个月以前发布,2140000.0,"21,076元/平",VR看装修 房本满两年 
省医科院宿舍，房内有储藏室，有大院，好停车！,山东省医科院宿舍,文化西路,2室1厅 ,78.13, 南 , 简装 ,5, 板楼,12, 6个月以前发布,1820000.0,"23,295元/平",VR看装修 房本满五年 
房子楼层合适  大院传达 南北通透 近齐鲁医院,舜亭苑,佛山街,2室1厅 ,64.44, 南 北 , 毛坯 ,6, 板楼,13, 一年前发布,1450000.0,"22,502元/平",VR看装修 房本满两年 
青年东路文教大院  单位宿舍  中楼层  双气  南北通透,青年东路5号院,文化西路,2室1厅 ,85.17, 南 北 , 其他 ,5, 板楼,5, 8个月以前发布,2160000.0,"25,362元/平",VR看装修 房本满两年 
店长推荐 玺园别墅 毛坯 400平大院  提前预约,海尔绿城全运村玺园,奥体中心,5室2厅 ,384.16, 南 北 , 其他 ,2, 暂无数据,36, 9个月以前发布,39000000.0,"101,521元/平",VR房源 房本满两年 
财富中心精装修三居室，婚房未住，位置优越，随时看房,财富中心,银座花园,3室2厅 ,100.87, 南 , 精装 ,32, 板楼,24, 8个月以前发布,3260000.0,"32,319元/平",VR看装修 房本满两年 
佛山苑齐鲁医院精致两室一厅交通便利,佛山苑三区,佛山街,2室1厅 ,52.36, 南 北 , 其他 ,8, 板楼,2, 5个月以前发布,1650000.0,"31,513元/平",VR看装修 房本满五年 
户型方正 舒适度高  大院停车  业主急售 价格可谈,山大路238,文化东路,2室1厅 ,71.45, 南 北 , 简装 ,5, 板楼,15, 8个月以前发布,1500000.0,"20,994元/平",VR看装修 房本满五年 
R3地铁万科精装三居室，采光视野好,济南万科城,化纤厂路,3室2厅 ,120.9, 南 , 精装 ,33, 板楼,9, 7个月以前发布,2950000.0,"24,401元/平",近地铁 VR看装修 房本满两年 
市政奥体南 颐馨苑精装 四室大平层 东户视野好 诚售,颐馨苑,奥体中心,4室2厅 ,183.89, 南 北 , 其他 ,17, 平房,7, 2个月以前发布,6150000.0,"33,444元/平",近地铁 VR看装修 房本满两年 
