精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
华山湖旁50万精装洋房包含 车位地下室,中海华山珑城,华山,3室2厅 ,127.87, 南 北 , 精装 ,11, 暂无数据,2, 1个月以前发布,2950000.0,"23,071元/平",VR看装修 房本满两年 
碧桂园翡翠雅郡 2室2厅 南,碧桂园翡翠雅郡,经十东路,2室2厅 ,73.68, 南 , 精装 ,18, 板楼,7, 11个月以前发布,950000.0,"12,894元/平",VR看装修 房本满两年 
精装小高层，低密度园区，居住舒适 环境优雅。,中海珑玺,华山,3室2厅 ,98.36, 南 北 , 其他 ,18, 板楼,5, 1个月以前发布,1620000.0,"16,471元/平",VR看装修 房本满两年 
和润幸福城  简单装修  满二年 业主诚心出售 看房方便,和润幸福城,唐冶,3室2厅 ,110.19, 南 , 精装 ,32, 板楼,1, 2个月以前发布,2200000.0,"19,966元/平",VR房源 房本满两年 
此房交易费用低　南北双气，大院传达，新式全明户型！,葡萄园小区,七里河,2室2厅 ,103.53, 南 北 , 精装 ,6, 板楼,41, 一年前发布,1500000.0,"14,489元/平",VR看装修 房本满五年 
新上 南全福小区西区 一楼带院50平 精装修 看房方便,南全福小区西区,全福区,2室2厅 ,106.18, 南 北 , 精装 ,6, 板楼,3, 5个月以前发布,1750000.0,"16,482元/平",VR房源 房本满五年 
三室朝南，南北通透格局好，不是顶楼，大院停车有传达,葡萄园小区,七里河,3室2厅 ,153.03, 南 北 , 简装 ,5, 板楼,13, 一年前发布,2650000.0,"17,317元/平",VR看装修 房本满两年 
闵子骞路电力设计院，大院停车，百花公园20米。,闵子骞路12号,洪家楼,3室2厅 ,141.05, 南 北 , 精装 ,4, 板楼,14, 一年前发布,3680000.0,"26,091元/平",VR看装修 房本满五年 
雪山唯壹低密社区 精装6层洋房哪里找,中新锦绣天地,济钢,4室2厅 ,136.57, 南 北 , 精装 ,1, 暂无数据,5, 2个月以前发布,3000000.0,"21,967元/平",VR看装修 房本满两年 
二环东 祝甸 七里堡小区 正规两室两厅 房主置换,七里堡小区南区,祝甸,2室2厅 ,85.24, 南 北 , 简装 ,7, 板楼,47, 3个月以前发布,880000.0,"10,324元/平",近地铁 VR看装修 房本满五年 
万卷府精装三室6楼 7 楼复式对外出售,万象新天三区,王舍人,3室2厅 ,134.7, 南 , 精装 ,6, 板楼,34, 一年前发布,1950000.0,"14,477元/平",VR房源 房本满五年 
祥泰城 南北通透大三居 看房随时 诚意售房,祥泰城,还乡店,3室2厅 ,109.0, 南 北 , 精装 ,24, 板楼,27, 一年前发布,1700000.0,"15,597元/平",VR看装修 房本满两年 
工业北路沿线 公摊小，视野宽阔，生活便利，交通方便,景苑花园,还乡店,2室1厅 ,74.01, 南 , 简装 ,8, 板楼,11, 1个月以前发布,800000.0,"10,810元/平",VR房源 房本满五年 
刚需精装三室两厅 得房率高 无噪音干扰 停车房源,工业北路236,还乡店,3室2厅 ,147.93, 西 , 精装 ,6, 板楼,6, 9个月以前发布,2290000.0,"15,481元/平",VR房源 房本满五年 
出门是地铁、户型方正、精装修有新风系统、有车位,保利海德公馆,祝甸,3室1厅 ,140.68, 南 北 , 精装 ,33, 板楼,7, 6个月以前发布,2930000.0,"20,828元/平",近地铁 VR看装修 房本满两年 
小高层精装修，一梯两户低公摊，户型方正位置佳免高税,万象新天四区,王舍人,3室2厅 ,141.2, 南 北 , 简装 ,18, 板楼,15, 7个月以前发布,2000000.0,"14,165元/平",VR看装修 房本满两年 
精装小高三室，有证免高税，正常首付即可，诚心卖,万象新天北一区,王舍人,3室2厅 ,100.43, 南 , 精装 ,24, 板楼,40, 4个月以前发布,1320000.0,"13,144元/平",VR看装修 房本满两年 
精装修 户型布局合理 两室朝阳视野开阔，阳台*大,恒大城,王舍人,3室2厅 ,134.15, 南 北 , 精装 ,28, 板楼,10, 一年前发布,2100000.0,"15,655元/平",近地铁 VR看装修 房本满五年 
中高楼层视野好，诚心出售看房方便,汉峪海风,汉峪,3室2厅 ,122.37, 南 北 , 精装 ,22, 板楼,46, 9个月以前发布,2450000.0,"20,022元/平",VR看装修 房本满两年 
精装自住满两年免高税，可贷款，诚心出售，价格可谈,中建新悦城,济钢,3室2厅 ,102.91, 南 北 , 精装 ,30, 板楼,22, 8个月以前发布,1500000.0,"14,576元/平",近地铁 VR看装修 房本满两年 
精装修 拎包入住 有车位有地下室  楼层好采光好公摊小,保利海德公馆,祝甸,3室2厅 ,138.26, 南 北 , 精装 ,32, 板楼,19, 7个月以前发布,2580000.0,"18,661元/平",近地铁 VR看装修 房本满五年 
房子位置好，出行便利，户型好，非顶通透户型,百花小区,七里河,4室1厅 ,146.1, 南 北 , 简装 ,6, 板楼,9, 5个月以前发布,2200000.0,"15,059元/平",VR看装修 房本满五年 
此房满五年，暖气已入户可通，户型方正，前后无遮挡,上海花园,祝甸,3室2厅 ,119.4, 南 , 简装 ,8, 板楼,20, 7个月以前发布,2190000.0,"18,342元/平",近地铁 VR看装修 房本满五年 
房子是两梯两户的，公摊小，户型方正.交通方便,新城香溢澜庭,王舍人,3室2厅 ,147.64, 南 北 , 精装 ,18, 板楼,2, 8个月以前发布,2050000.0,"13,886元/平",VR看装修 房本满两年 
工业南路公交宿舍，交通便利，中间楼层，带储藏室,工业南路307,七里河,2室1厅 ,79.99, 南 , 简装 ,6, 板楼,13, 8个月以前发布,1150000.0,"14,377元/平",VR看装修 房本满五年 
此房房本满五年，不唯一，无户口，可迁入，,保利海德公馆,祝甸,3室2厅 ,168.98, 南 北 , 精装 ,32, 板楼,24, 一年前发布,3850000.0,"22,784元/平",近地铁 VR看装修 房本满两年 
万象新天北一区，大三居，新东站，王舍人片区,万象新天北一区,王舍人,3室2厅 ,141.0, 南 , 精装 ,24, 板楼,0, 11个月以前发布,2050000.0,"14,540元/平",VR看装修 房本满两年 
带地下室 中间楼层 采光充足  户型优质  不沿街价可议,七里河路2-1号,七里河,3室2厅 ,125.46, 南 北 , 简装 ,6, 板楼,17, 9个月以前发布,1680000.0,"13,391元/平",VR看装修 房本满两年 
假日丽景花园小区西区 3室2厅 南 北,假日丽景花园小区西区,祝甸,3室2厅 ,108.74, 南 北 , 精装 ,11, 板楼,7, 4个月以前发布,2000000.0,"18,393元/平",VR看装修 房本满五年 
房子很安静，毛坯，靠着山里面，无人打扰。低公摊,涵玉翠岭,汉峪,3室2厅 ,147.82, 南 , 其他 ,16, 板楼,35, 3个月以前发布,2600000.0,"17,589元/平",VR看装修 房本满两年 
凤凰国际北区 3室2厅 南 北,凤凰国际北区,经十东路,3室2厅 ,240.37, 南 北 , 精装 ,33, 板楼,4, 2个月以前发布,4600000.0,"19,138元/平",VR房源 房本满两年 
彩虹湖畔，大三室，装修好，有钥匙，看房方便，诚心卖,天马相城彩虹湖,经十东路,3室2厅 ,134.54, 南 , 精装 ,25, 板楼,39, 1个月以前发布,1210000.0,"8,994元/平",VR房源 房本满两年 
鲁商凤凰城精装三室，两室朝阳拎包入住带地下室有车位,鲁商凤凰城,唐冶,3室2厅 ,124.58, 南 北 , 精装 ,31, 板楼,5, 1个月以前发布,1750000.0,"14,048元/平",VR看装修 房本满两年 
东都尚城 精装大三居 整满两年  诚心卖,东都尚城,还乡店,3室2厅 ,135.89, 南 , 精装 ,33, 板楼,6, 1个月以前发布,1840000.0,"13,541元/平",近地铁 VR看装修 房本满两年 
改善型大三居，精装修带新风系统 房主诚心出售。,中海华山珑城,华山,3室2厅 ,125.91, 南 北 , 精装 ,30, 板楼,2, 3个月以前发布,1970000.0,"15,647元/平",VR看装修 房本满两年 
精装满二，华山110平3室，南北通透,中海华山珑城,华山,3室1厅 ,110.22, 南 北 , 精装 ,33, 板楼,10, 2个月以前发布,1530000.0,"13,882元/平",VR看装修 房本满两年 
精装修 免高税 万科物业 急售 业主自住,万科新里程,还乡店,3室2厅 ,103.0, 南 北 , 精装 ,28, 板楼,11, 3个月以前发布,1690000.0,"16,408元/平",VR看装修 房本满两年 
万象新天北二区PK郡122平通透三室精装含地有机械车位,万象新天北二区,王舍人,3室2厅 ,122.66, 南 北 , 精装 ,24, 板塔结合,7, 10个月以前发布,1750000.0,"14,268元/平",VR看装修 房本满两年 
满2年 大三居 精装修 中上楼层  视野开阔 出行方便,中海华山珑城,华山,3室2厅 ,109.76, 南 北 , 精装 ,33, 板楼,26, 10个月以前发布,1560000.0,"14,213元/平",VR看装修 房本满两年 
历下区，电梯洋房，满五唯一，采光充足，格局好,假日丽景花园小区西区,祝甸,2室2厅 ,81.76, 南 , 简装 ,11, 板楼,13, 8个月以前发布,1550000.0,"18,958元/平",VR看装修 房本满五年 
恒大名都  大三室 着急卖 看房子方便,恒大名都,唐冶,3室2厅 ,156.94, 南 北 , 精装 ,32, 板楼,13, 一年前发布,2230000.0,"14,210元/平",VR看装修 房本满五年 
精装大复式，空中别墅，满二，三代及以上居住优选,中铁逸都国际,汉峪,5室3厅 ,271.18, 南 北 , 精装 ,10, 板楼,18, 1个月以前发布,6750000.0,"24,892元/平",VR房源 房本满两年 
小区环境优美+交通便捷+满两+南北通透,翡翠清河,还乡店,3室2厅 ,130.98, 北 南 , 精装 ,21, 板楼,3, 11个月以前发布,2600000.0,"19,851元/平",VR看装修 房本满两年 
锦绣泉城 三居室 低楼层 出行方便,锦绣泉城,七里河,3室2厅 ,140.11, 南 北 , 精装 ,12, 板楼,68, 一年前发布,2460000.0,"17,558元/平",VR看装修 房本满五年 
南全福诚售，通透全明，客厅太好用，带小房，满五唯一,南全福小区西区,全福区,2室2厅 ,79.09, 南 北 , 简装 ,6, 板楼,29, 一年前发布,910000.0,"11,506元/平",VR看装修 房本满五年 
158平三室两厅两卫带保姆间精装拎包入住 免高税诚心卖,东岸嘉园,经十东路,3室2厅 ,157.82, 南 北 , 精装 ,24, 板楼,30, 一年前发布,1900000.0,"12,040元/平",VR看装修 房本满五年 
婚房出售！装修好有车位汉峪金谷南邻,鲁邦奥林逸城,汉峪,2室2厅 ,93.59, 南 , 其他 ,33, 板楼,2,28,1830000.0,"19,554元/平",VR看装修 房本满两年 
业主诚心出售 精装两室 双气 独立大院 停车方便,花园小区二区,洪家楼,2室2厅 ,93.5, 南 北 , 精装 ,6, 板楼,1,29,1460000.0,"15,615元/平",VR房源 房本满五年 
此房满五，户型方正，中高楼层，采光充足。,南全福小区西区,全福区,2室1厅 ,61.38, 南 , 其他 ,6, 板楼,0,31,898000.0,"14,631元/平",VR看装修 房本满五年 
济钢新村中心区 1室0厅 南,济钢新村中心区,济钢,1室0厅 ,62.69, 南 , 简装 ,24, 暂无数据,0,23,600000.0,"9,571元/平",VR看装修 房本满五年 
逸雅园小高层 有车位地下室 满二 视野好,东城逸家逸雅园,汉峪,3室2厅 ,158.85, 南 北 , 简装 ,15, 板楼,0, 1个月以前发布,5200000.0,"32,736元/平",VR看装修 房本满两年 
新上 无户口  满二 看房方便 采光好 全南向 诚心出售,万象新天三区,王舍人,1室1厅 ,63.62, 南 , 简装 ,18, 板楼,0,28,920000.0,"14,461元/平",VR看装修 房本满两年 
永大颐和园 2室1厅 南 北,永大颐和园,建筑大学,2室1厅 ,95.51, 南 北 , 其他 ,18, 板楼,1,18,1300000.0,"13,612元/平",VR看装修 房本满五年 
舜奥华府南区 全明格局 户型方正 拎包入住 业主诚售,舜奥华府南区,汉峪,2室1厅 ,96.93, 南 , 精装 ,25, 板楼,16,23,2300000.0,"23,729元/平",VR看装修 房本满两年 
世纪大道旁，采光充足，视野广阔好楼层。,中新国际城,济钢,2室1厅 ,84.25, 南 北 , 其他 ,24, 板楼,2,18,1250000.0,"14,837元/平",VR看装修 房本满两年 
新天地 南北通透 诚心出售 看房方便 有地下室,兴业嘉苑新天地,七里河,2室1厅 ,89.35, 南 北 , 简装 ,12, 板楼,2,19,1320000.0,"14,774元/平",VR看装修 房本满五年 
板桥路12号 2室1厅 南 北,板桥路12号,全福区,2室1厅 ,71.94, 南 北 , 其他 ,6, 板楼,2,30,1010000.0,"14,040元/平",VR看装修 房本满五年 
花园路40号 2室1厅 南 北,花园路40号,七里河,2室1厅 ,73.66, 南 北 , 其他 ,6, 板楼,1,26,1080000.0,"14,662元/平",VR看装修 房本满五年 
精装修，户型方正，采光充足，拎包入住,东篱花园,济钢,2室1厅 ,84.15, 南 北 , 简装 ,25, 塔楼,5,20,990000.0,"11,765元/平",VR看装修 房本满五年 
万科精装修 高楼层采光充足 业主自住 随时看房 诚心卖,万科新里程,还乡店,2室1厅 ,81.3, 南 北 , 其他 ,34, 板楼,0,28,1350000.0,"16,606元/平",近地铁 VR看装修 房本满两年 
万科精装修 万科物业 好楼层 采光充足 诚心卖,万科新里程,还乡店,2室2厅 ,81.61, 南 北 , 其他 ,34, 板楼,0,23,1380000.0,"16,910元/平",近地铁 VR看装修 房本满两年 
满五免高税，南北通透，采光好，配套齐全，交通便利,燕舞园,祝甸,2室2厅 ,87.07, 南 北 , 简装 ,7, 板楼,0,23,1050000.0,"12,060元/平",VR房源 房本满五年 
此房公摊小、有车位、看房方便、全明户型，有院,化纤小区,祝甸,2室1厅 ,82.51, 南 北 , 简装 ,6, 板楼,3,30,1360000.0,"16,483元/平",VR看装修 房本满五年 
石桥村85号 2室1厅 南 北,石桥村85号,全福区,2室1厅 ,59.13, 南 北 , 其他 ,6, 板楼,0,23,980000.0,"16,574元/平",近地铁 VR看装修 房本满五年 
：两室朝阳。 楼层采光视野好 业主诚意出售,南全福南二区,全福区,2室1厅 ,74.91, 南 , 其他 ,7, 板楼,7,26,820000.0,"10,947元/平",近地铁 VR房源 房本满五年 
停车方便   生活成本低  距离万虹近,杨北小区,王舍人,2室2厅 ,79.92, 南 北 , 其他 ,6, 板楼,3,23,990000.0,"12,388元/平",近地铁 VR看装修 房本满五年 
板桥路13号 2室1厅 南 北,板桥路13号,全福区,2室1厅 ,70.03, 南 北 , 其他 ,5, 板楼,1,31,1160000.0,"16,565元/平",近地铁 VR看装修 房本满五年 
将军花园新区 2室2厅 南,将军花园新区,还乡店,2室2厅 ,110.01, 南 , 其他 ,18, 塔楼,0,21,1380000.0,"12,545元/平",VR房源 房本满五年 
此房满两年，户型方正，楼层好，视野宽阔,中建新悦城,济钢,2室2厅 ,92.98, 南 北 , 其他 ,33, 板楼,1,28,1400000.0,"15,058元/平",近地铁 VR看装修 房本满两年 
百花小区 精装 一楼 可直接入住  客厅方正  南北通透,百花小区,七里河,2室2厅 ,85.9, 南 北 , 其他 ,7, 板楼,9,20,1450000.0,"16,881元/平",VR房源 房本满五年 
正规两居室  带地下室  户型合理,万象新天哈佛郡,王舍人,2室1厅 ,80.37, 南 北 , 简装 ,33, 板塔结合,0,23,1180000.0,"14,683元/平",VR看装修 房本满两年 
满五，大厅三居室，闵子骞山大南路，中层户型好用,闵子骞路,洪家楼,3室2厅 ,93.98, 南 北 , 简装 ,6, 板楼,12,26,1690000.0,"17,983元/平",VR看装修 房本满五年 
万象新天 满两年，楼栋位置好，各功能间有明窗。,万象新天剑桥郡,王舍人,2室1厅 ,69.38, 西 , 精装 ,32, 板楼,2,21,930000.0,"13,405元/平",VR看装修 房本满两年 
保利花园 精装中间楼层 不临街,保利花园,建筑大学,2室2厅 ,88.39, 南 , 其他 ,30, 板楼,2,21,1380000.0,"15,613元/平",VR看装修 房本满五年 
万象哈佛郡好位置前无遮挡采光好有车位地下室,万象新天哈佛郡,王舍人,2室1厅 ,90.95, 南 , 其他 ,33, 板塔结合,0,27,1250000.0,"13,744元/平",VR看装修 房本满两年 
精装两室！带小院２０平！采光很好！,工业北路236,还乡店,2室1厅 ,53.12, 南 , 其他 ,4, 板楼,1,31,860000.0,"16,190元/平",VR房源 房本满两年 
百花小区 精装 一楼 可直接入住  客厅方正  南北通透,百花小区,七里河,2室2厅 ,85.9, 南 北 , 其他 ,7, 板楼,9,20,1450000.0,"16,881元/平",VR房源 房本满五年 
万象新天三区 1室2厅 南 北,万象新天三区,王舍人,1室2厅 ,63.57, 南 北 , 其他 ,18, 板楼,1,21,950000.0,"14,945元/平",VR看装修 房本满两年 
房子适合刚需人群，单价低，面积大，总价低，楼层合适,兴业嘉苑,七里河,2室2厅 ,104.41, 南 北 , 其他 ,7, 板楼,2,17,1570000.0,"15,037元/平",VR房源 房本满五年 
舜泽园小区  位置好 楼龄新 电梯房 诚心出售,舜泽园小区,全福区,2室2厅 ,84.88, 南 北 , 精装 ,22, 板楼,2,28,1250000.0,"14,727元/平",近地铁 VR看装修 房本满两年 
满两年免高税 拐角飘窗 有地下室 万科物业 看房方便,万科新里程,还乡店,2室2厅 ,81.11, 南 东 , 精装 ,34, 板楼,2,22,1320000.0,"16,275元/平",近地铁 VR看装修 房本满两年 
翡翠清河 2室1厅 南,翡翠清河,还乡店,2室1厅 ,102.18, 南 , 精装 ,21, 板楼,1,20,1700000.0,"16,638元/平",VR看装修 房本满五年 
一梯两户，实用性高，随时看房，采光充足，楼层好,铁矿宿舍,王舍人,2室2厅 ,89.46, 南 北 , 精装 ,6, 暂无数据,0,25,1150000.0,"12,855元/平",近地铁 VR看装修 房本满两年 
新东站，凤凰路，万象新天，精装大两室，房主诚心出售,万象新天剑桥郡,王舍人,2室1厅 ,93.73, 南 北 , 其他 ,22, 板楼,0,25,1280000.0,"13,657元/平",VR看装修 房本满两年 
急售 业主置换房子  价格可以谈 停车方便,将军花园,还乡店,2室1厅 ,58.0, 南 , 其他 ,6, 板楼,0,24,850000.0,"14,656元/平",VR房源 房本满五年 
华能气动元件厂宿舍 双气 满五唯一,二环东路1211号,全福区,2室1厅 ,79.71, 南 北 , 精装 ,6, 板楼,0,20,1200000.0,"15,055元/平",近地铁 VR看装修 房本满五年 
洪家楼少 有两室，视野开阔，南北通透，印象城大润发,洪家楼小区,洪家楼,2室2厅 ,112.4, 南 北 , 其他 ,7, 板楼,1,16,1700000.0,"15,125元/平",近地铁 VR看装修 房本满五年 
建大花园 3室2厅 南 北,建大花园,建筑大学,3室2厅 ,132.24, 南 北 , 其他 ,6, 板楼,2,16,3630000.0,"27,451元/平",VR看装修 房本满五年 
全福东 高架桥旁 电厂五宿舍 双气正规大院 方便停车,黄台电厂第五宿舍区,还乡店,2室2厅 ,70.11, 南 北 , 其他 ,5, 板楼,1,30,920000.0,"13,123元/平",VR看装修 房本满五年 
精装修大两室，好楼层，随时看房，诚心出售,天鸿云公馆B6,王舍人,2室1厅 ,91.9, 南 , 简装 ,32, 板楼,1,25,1220000.0,"13,276元/平",VR看装修 房本满两年 
保利特异小户型小面积南向精装修,保利海德公馆,祝甸,1室1厅 ,64.86, 南 , 精装 ,33, 板楼,2,30,1180000.0,"18,194元/平",近地铁 VR看装修 房本满五年 
万象新天哈佛郡 2室1厅 西南,万象新天哈佛郡,王舍人,2室1厅 ,73.67, 西南 , 精装 ,22, 板塔结合,2,16,1050000.0,"14,253元/平",VR看装修 房本满两年 
房子精装修 全明户型 房主诚心出售,万象新天北一区,王舍人,2室2厅 ,90.82, 南 东 , 精装 ,28, 板楼,0,28,1250000.0,"13,764元/平",VR看装修 房本满五年 
金羚名人大第 2室2厅 南 北,金羚名人大第,七里河,2室2厅 ,118.52, 南 北 , 精装 ,10, 板楼,1,24,2050000.0,"17,297元/平",VR看装修 房本满两年 
新东站，凤凰北路，万象新天精装一室，房主诚心出售。,万象新天北一区,王舍人,2室1厅 ,68.5, 东 , 精装 ,28, 板楼,2,19,950000.0,"13,869元/平",VR看装修 房本满五年 
随时看房 诚意出售 110平 精装自住，证满两年,尚东1956,建筑大学,3室2厅 ,109.26, 南 北 , 其他 ,27, 板楼,1,27,3150000.0,"28,831元/平",VR看装修 房本满两年 
舜泽园小区 2室1厅 南 北,舜泽园小区,全福区,2室1厅 ,55.47, 南 北 , 其他 ,17, 板楼,7,19,820000.0,"14,783元/平",近地铁 VR看装修 房本满两年 
精装修、采光好、不沿铁路、大院好停车、双气、好楼层,南全福南一区,全福区,3室2厅 ,110.75, 南 北 , 精装 ,6, 板楼,0,30,1750000.0,"15,802元/平",近地铁 VR看装修 房本满五年 
经典两室，视野宽阔，采光好，免高税诚心出售,中海华山珑城,华山,2室2厅 ,82.28, 南 北 , 其他 ,33, 板楼,1,18,1160000.0,"14,099元/平",VR看装修 房本满两年 
洪家楼 花园路 国美 南北通透 厅有窗户,恒泰花园,山大路,3室1厅 ,125.46, 南 北 , 其他 ,7, 板楼,0,23,2200000.0,"17,536元/平",VR看装修 房本满五年 
洪苑小区，经典全明户型，中间楼层。,洪苑小区,祝甸,2室1厅 ,56.77, 南 北 , 其他 ,6, 板楼,0,16,1050000.0,"18,496元/平",近地铁 VR看装修 房本满两年 
大两居，有车位，采光视野棒，正常首付，诚心出售,鲁商凤凰城,唐冶,2室1厅 ,91.56, 南 , 简装 ,31, 板楼,2,29,1200000.0,"13,107元/平",VR看装修 房本满两年 
房子中间楼层 采光充足 带11.9平地下室 业主诚心出售,万象新天哈佛郡,王舍人,2室2厅 ,73.71, 南 西 , 精装 ,22, 板塔结合,14,22,1000000.0,"13,567元/平",VR看装修 房本满两年 
重汽翡翠外滩 2室2厅 南,重汽翡翠外滩,黄台,2室2厅 ,94.06, 南 , 其他 ,27, 板楼,1,26,1560000.0,"16,586元/平",VR看装修 房本满五年 
花园路、地铁、精装婚房、好停车、有储物间、诚意出售,山东商业职业技术学校职工宿舍,祝甸,2室1厅 ,47.35, 南 北 , 精装 ,5, 板楼,3,29,909000.0,"19,198元/平",VR看装修 房本满两年 随时看房 
业主诚心出售+户型方正+看房方便,舜奥华府南区,汉峪,2室2厅 ,111.14, 南 , 精装 ,23, 板楼,2,25,2800000.0,"25,194元/平",VR看装修 房本满两年 
小高层，环境安静，华山风景区北临，简装小三室，,中海华山珑城,华山,3室2厅 ,96.36, 南 , 简装 ,18, 板楼,12, 7个月以前发布,1480000.0,"15,360元/平",VR看装修 房本满两年 
恒大城主力户型，观湖御景，通透三室,恒大城,王舍人,3室2厅 ,101.25, 南 , 精装 ,30, 板楼,75, 7个月以前发布,1600000.0,"15,803元/平",近地铁 VR看装修 房本满五年 
祥泰城 装修成本20万 经典小三室户型 证满两年,祥泰城,还乡店,3室1厅 ,100.69, 南 , 其他 ,26, 板楼,23, 10个月以前发布,1650000.0,"16,387元/平",VR看装修 房本满两年 
证满两年  精装修未住  有车位 地下室 诚意出售,银丰唐郡桂花园,唐冶,3室2厅 ,151.49, 南 , 精装 ,11, 板楼,14, 4个月以前发布,2850000.0,"18,814元/平",VR看装修 房本满两年 
华山珑城经典四居 不严高速视野好 出门就是华山风景区,中海华山珑城,华山,4室2厅 ,140.78, 南 北 , 精装 ,26, 板楼,30, 4个月以前发布,2100000.0,"14,917元/平",VR看装修 房本满两年 
房源位置好，地铁公园房，交通便利，精装修,鲁商凤凰城,唐冶,4室2厅 ,168.55, 南 , 精装 ,33, 板楼,11, 一年前发布,2450000.0,"14,536元/平",VR房源 房本满两年 
业主诚心出售，精装房，拎包入住,东兴寓城,全福区,3室2厅 ,100.67, 南 , 精装 ,12, 板楼,4, 10个月以前发布,1680000.0,"16,689元/平",近地铁 VR看装修 房本满五年 
百花小区两室通透急售  中间楼层 证满五年,百花小区,七里河,2室2厅 ,80.0, 南 北 , 简装 ,7, 板楼,9, 7个月以前发布,1350000.0,"16,875元/平",VR看装修 房本满五年 
和润幸福城  简单装修  满二年 业主诚心出售 看房方便,和润幸福城,唐冶,3室2厅 ,110.19, 南 , 精装 ,32, 板楼,1, 2个月以前发布,2200000.0,"19,966元/平",VR房源 房本满两年 
华山湖旁50万精装洋房包含 车位地下室,中海华山珑城,华山,3室2厅 ,127.87, 南 北 , 精装 ,11, 暂无数据,2, 1个月以前发布,2950000.0,"23,071元/平",VR看装修 房本满两年 
工业北路沿线 公摊小，视野宽阔，生活便利，交通方便,景苑花园,还乡店,2室1厅 ,74.01, 南 , 简装 ,8, 板楼,11, 1个月以前发布,800000.0,"10,810元/平",VR房源 房本满五年 
刚需精装三室两厅 得房率高 无噪音干扰 停车房源,工业北路236,还乡店,3室2厅 ,147.93, 西 , 精装 ,6, 板楼,6, 9个月以前发布,2290000.0,"15,481元/平",VR房源 房本满五年 
华山珑城经典三室带20平地下室 免高税 诚心出售,中海华山珑城,华山,3室2厅 ,110.43, 南 北 , 精装 ,30, 板楼,5, 4个月以前发布,1700000.0,"15,395元/平",VR看装修 房本满两年 
万卷府精装三室6楼 7 楼复式对外出售,万象新天三区,王舍人,3室2厅 ,134.7, 南 , 精装 ,6, 板楼,34, 一年前发布,1950000.0,"14,477元/平",VR房源 房本满五年 
祥泰城 南北通透大三居 看房随时 诚意售房,祥泰城,还乡店,3室2厅 ,109.0, 南 北 , 精装 ,24, 板楼,27, 一年前发布,1700000.0,"15,597元/平",VR看装修 房本满两年 
简单装修，方正户型，免高税，大四居 带车位地下室,鲁邦奥林逸城,汉峪,4室2厅 ,193.07, 南 北 , 简装 ,18, 板楼,7, 10个月以前发布,3800000.0,"19,682元/平",VR看装修 房本满两年 
精装修好楼层，满五免高税，即买即住，正常首付,恒大名都,唐冶,3室2厅 ,135.77, 北 南 , 精装 ,32, 板楼,0, 1个月以前发布,2100000.0,"15,468元/平",VR看装修 房本满五年 
工业北路，还乡店，幸福苑，全福立交桥交通方便,幸福苑,还乡店,3室2厅 ,97.85, 南 北 , 精装 ,7, 板楼,0, 一年前发布,1380000.0,"14,104元/平",VR看装修 房本满五年 
满二精装三室，前无遮挡，不是顶楼，采光好，拎包入住,祥泰城,还乡店,3室2厅 ,108.65, 南 北 , 精装 ,30, 板楼,7, 7个月以前发布,1650000.0,"15,187元/平",VR看装修 房本满两年 
闵子骞路电力设计院，大院停车，百花公园20米。,闵子骞路12号,洪家楼,3室2厅 ,141.05, 南 北 , 精装 ,4, 板楼,14, 一年前发布,3680000.0,"26,091元/平",VR看装修 房本满五年 
三室朝南，南北通透格局好，不是顶楼，大院停车有传达,葡萄园小区,七里河,3室2厅 ,153.03, 南 北 , 简装 ,5, 板楼,13, 一年前发布,2650000.0,"17,317元/平",VR看装修 房本满两年 
新上 南全福小区西区 一楼带院50平 精装修 看房方便,南全福小区西区,全福区,2室2厅 ,106.18, 南 北 , 精装 ,6, 板楼,3, 5个月以前发布,1750000.0,"16,482元/平",VR房源 房本满五年 
雪山唯壹低密社区 精装6层洋房哪里找,中新锦绣天地,济钢,4室2厅 ,136.57, 南 北 , 精装 ,1, 暂无数据,5, 2个月以前发布,3000000.0,"21,967元/平",VR看装修 房本满两年 
此房交易费用低　南北双气，大院传达，新式全明户型！,葡萄园小区,七里河,2室2厅 ,103.53, 南 北 , 精装 ,6, 板楼,41, 一年前发布,1500000.0,"14,489元/平",VR看装修 房本满五年 
二环东 祝甸 七里堡小区 正规两室两厅 房主置换,七里堡小区南区,祝甸,2室2厅 ,85.24, 南 北 , 简装 ,7, 板楼,47, 3个月以前发布,880000.0,"10,324元/平",近地铁 VR看装修 房本满五年 
此房满两年，楼层好，采光从足，全明户型，南北通透,祥泰城,还乡店,3室2厅 ,108.94, 南 北 , 精装 ,24, 板楼,4, 5个月以前发布,1800000.0,"16,523元/平",VR看装修 房本满两年 
精装小高层，低密度园区，居住舒适 环境优雅。,中海珑玺,华山,3室2厅 ,98.36, 南 北 , 其他 ,18, 板楼,5, 1个月以前发布,1620000.0,"16,471元/平",VR看装修 房本满两年 
碧桂园翡翠雅郡 2室2厅 南,碧桂园翡翠雅郡,经十东路,2室2厅 ,73.68, 南 , 精装 ,18, 板楼,7, 11个月以前发布,950000.0,"12,894元/平",VR看装修 房本满两年 
