中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满两年 通透性强 格局好 楼层高楼层 采光好,中海天悦府,齐鲁软件园,2室1厅 ,90.11, 南 北 , 其他 ,32, 板楼,46, 4个月以前发布,1790000.0,"19,865元/平",VR看装修 房本满五年 
两室客厅朝阳  采光好 小区中间位置 看房方便,茗筑美嘉,康虹路,2室1厅 ,91.56, 南 , 其他 ,18, 板楼,117, 一年前发布,1500000.0,"16,383元/平",VR看装修 房本满五年 
中间楼层，电梯房，一居室，看房方便,黄金时代,齐鲁软件园,1室1厅 ,48.49, 北 , 精装 ,7, 板塔结合,1, 5个月以前发布,950000.0,"19,592元/平",VR看装修 房本满五年 
未来城 南北通透两居室 边户 看房有钥匙,未来城,国际会展中心,2室2厅 ,92.7, 南 北 , 其他 ,27, 板楼,13, 7个月以前发布,1540000.0,"16,613元/平",VR看装修 房本满五年 
万达旁 南北通透户型  诚意卖 有  车位,鑫苑国际城市花园,国际会展中心,2室1厅 ,76.36, 南 北 , 其他 ,18, 板楼,6, 7个月以前发布,1290000.0,"16,894元/平",VR看装修 房本满两年 
龙园装修两室，户型方正，满两年 采光较好,龙园,齐鲁软件园,2室2厅 ,93.68, 南 , 简装 ,27, 板楼,4, 6个月以前发布,1700000.0,"18,147元/平",VR看装修 房本满五年 
雅居园南北通透两居  带地下室  满五年  诚意出售,雅居园小区,齐鲁软件园,2室2厅 ,96.07, 南 北 , 精装 ,5, 板楼,8, 4个月以前发布,2080000.0,"21,651元/平",VR看装修 房本满五年 
会展高新万达 精装LOFT  电梯房 面积80平  看房方便,新生活家园南区,国际会展中心,2室1厅 ,65.8, 南 , 其他 ,5, 塔楼,2,13,1050000.0,"15,958元/平",VR房源 
万科金域国际通透三居室，好装修，业主诚心出售,万科金域国际,齐鲁软件园,3室2厅 ,131.4, 南 北 , 精装 ,28, 板楼,44, 9个月以前发布,2600000.0,"19,787元/平",VR看装修 房本满两年 
客卧分离 全天采光 配套完善 产权车位 地铁口,凤凰SOHO,康虹路,1室1厅 ,41.0, 东 , 其他 ,22, 塔楼,0, 2个月以前发布,500000.0,"12,196元/平",VR房源 随时看房 
未来城南北通透两室160万，价格能谈,未来城,国际会展中心,2室2厅 ,91.88, 南 北 , 简装 ,27, 板楼,1, 9个月以前发布,1599900.0,"17,413元/平",VR看装修 房本满五年 
此房满二，无高税，装修保持的挺好，适合老人居住,明湖白鹭郡,康虹路,2室2厅 ,91.68, 南 北 , 其他 ,25, 板楼,14, 4个月以前发布,1480000.0,"16,144元/平",VR看装修 房本满五年 
此房满两年了，低楼层，适合老人居住，配套设施完善,鑫苑国际城市花园,国际会展中心,1室0厅 ,46.05, 西 , 其他 ,18, 塔楼,19, 9个月以前发布,360000.0,"7,818元/平",VR房源 房本满五年 
鑫苑国际洋房 两居室 总高九层 中间楼层 带地下室,鑫苑国际城市花园,国际会展中心,2室1厅 ,78.7, 南 北 , 精装 ,9, 板楼,13, 10个月以前发布,1500000.0,"19,060元/平",VR看装修 房本满两年 
月租抵月供，地铁口 i自住均可！,凤凰SOHO,康虹路,1室1厅 ,41.0, 西 , 其他 ,19, 塔楼,0, 1个月以前发布,500000.0,"12,196元/平",VR房源 房本满两年 
齐鲁软件园西临 雅居园旁  电梯房 房主诚心出售,黄金时代,齐鲁软件园,1室1厅 ,93.69, 南 , 简装 ,7, 板塔结合,27, 一年前发布,1250000.0,"13,342元/平",VR房源 房本满五年 
此房满五年，户型好，业主诚心出售，,雅居园小区,齐鲁软件园,5室2厅 ,169.83, 南 北 , 简装 ,6, 板楼,0, 2个月以前发布,3500000.0,"20,609元/平",VR房源 房本满五年 
未来城南向公寓，邻近万达生活玩乐方便,未来城,国际会展中心,1室1厅 ,41.96, 南 , 其他 ,17, 塔楼,5, 7个月以前发布,410000.0,"9,772元/平",VR房源 房本满五年 
鑫苑国际城市花园 公寓 精装修  楼层好,鑫苑国际城市花园,国际会展中心,1室1厅 ,43.78, 西 , 其他 ,18, 塔楼,1, 1个月以前发布,370000.0,"8,452元/平",VR房源 房本满五年 
户型好，南向，证过五年，随时看房子,雅居园小区,齐鲁软件园,2室1厅 ,86.53, 南 , 精装 ,18, 板塔结合,24, 4个月以前发布,1560000.0,"18,029元/平",VR看装修 房本满五年 
高新汇展商圈 价格可谈，随时看房 诚意出售,汇展香格里拉,国际会展中心,2室1厅 ,77.17, 北 , 其他 ,31, 塔楼,5, 8个月以前发布,680000.0,"8,812元/平",VR房源 房本满五年 
鑫苑国际城市华城两室南北通透 随时看房,鑫苑国际城市花园,国际会展中心,2室2厅 ,76.36, 南 北 , 简装 ,18, 板楼,2, 9个月以前发布,1400000.0,"18,335元/平",VR看装修 房本满五年 
此房双气公寓，独立的卫生间和厨房，中间楼层，采光好,盛世花城公寓,国际会展中心,1室1厅 ,85.0, 西 北 , 其他 ,15, 塔楼,10, 8个月以前发布,700000.0,"8,236元/平",VR房源 房本满五年 
万科物业！舜泰广场户型方正两室直接入住！,万科金域国际,齐鲁软件园,2室2厅 ,80.23, 南 北 , 简装 ,30, 板楼,1, 3个月以前发布,1750000.0,"21,813元/平",VR看装修 房本满五年 
国际会展 鑫苑国际 南向 高楼层,鑫苑国际城市花园,国际会展中心,1室1厅 ,47.56, 南 , 其他 ,18, 塔楼,20, 4个月以前发布,370000.0,"7,780元/平",VR房源 房本满五年 
高新万达旁 南向公寓 业主诚意出售,鑫苑国际城市花园,国际会展中心,1室0厅 ,41.42, 南 , 其他 ,18, 塔楼,2, 7个月以前发布,380000.0,"9,175元/平",VR房源 房本满五年 
明湖白鹭郡 1室1厅 西,明湖白鹭郡,康虹路,1室1厅 ,59.43, 西 , 其他 ,20, 塔楼,5, 2个月以前发布,880000.0,"14,808元/平",VR看装修 房本满两年 
有车位可协商！地下室！不沿街小公摊！二室明湖白鹭郡,明湖白鹭郡,康虹路,2室2厅 ,86.29, 南 , 精装 ,18, 板楼,10, 2个月以前发布,1600000.0,"18,543元/平",VR看装修 房本满五年 
卧室客厅和三个阳台都朝阳的房子 中楼层,茗筑美嘉,康虹路,2室1厅 ,92.12, 南 , 简装 ,24, 板楼,21, 5个月以前发布,1580000.0,"17,152元/平",VR看装修 房本满五年 
诚意出售 高新万达 配套齐全 出行方便 公摊小,小鸭集团宿舍,世纪大道,2室1厅 ,44.14, 南 , 其他 ,4, 板楼,11, 9个月以前发布,700000.0,"15,859元/平",VR看装修 房本满五年 
万达广场房子出售啦哈楼下就是万达,高新万达广场,国际会展中心,1室0厅 ,61.0, 北 , 其他 ,28, 板楼,0,14,550000.0,"9,017元/平",VR房源 
雅居园总价低两居室，业主诚意出售,雅居园小区,齐鲁软件园,2室2厅 ,74.71, 北 , 精装 ,18, 板塔结合,20, 6个月以前发布,1390000.0,"18,606元/平",VR看装修 房本满五年 
中间楼层，满两年 免增值税，业主诚心出售 无户口,黄金时代,齐鲁软件园,1室1厅 ,67.51, 西 , 简装 ,7, 板塔结合,58, 一年前发布,970000.0,"14,369元/平",VR看装修 房本满五年 
楼层高，视野开阔，产权明晰，证过两年 免 税。,汇展香格里拉,国际会展中心,2室1厅 ,75.05, 北 , 其他 ,31, 塔楼,3, 3个月以前发布,700000.0,"9,328元/平",VR房源 房本满两年 
万科精装两室，低楼层，进出方便， 房主诚意出售,万科麓城,齐鲁软件园,2室2厅 ,82.39, 南 , 其他 ,32, 板楼,31, 9个月以前发布,1660000.0,"20,149元/平",VR看装修 房本满两年 
东临软件园  小户型住宅  南向  免双税,黄金时代,齐鲁软件园,1室1厅 ,48.53, 南 , 简装 ,7, 板塔结合,0, 2个月以前发布,920000.0,"18,958元/平",VR看装修 房本满五年 
：满二免稅，可户，可学 花园式小区，随时可以看房,汇展香格里拉,国际会展中心,1室1厅 ,67.62, 南 , 其他 ,31, 塔楼,0, 6个月以前发布,590000.0,"8,726元/平",VR房源 房本满五年 
精装自住小三室，免高税。随时入住。,中海奥龙觀邸,汉峪,3室2厅 ,114.1, 南 北 , 其他 ,28, 板楼,7, 10个月以前发布,3000000.0,"26,293元/平",VR看装修 房本满五年 
未来城南北通透诚心出售有地下室，价格的话能商量,未来城,国际会展中心,2室2厅 ,92.56, 南 北 , 其他 ,27, 板楼,5, 1个月以前发布,1500000.0,"16,206元/平",VR看装修 房本满两年 
汇展旁新生活家园南区  复式住宅 满五唯一 看房方便,新生活家园南区,国际会展中心,2室1厅 ,56.15, 南 , 简装 ,5, 塔楼,107, 一年前发布,900000.0,"16,029元/平",VR房源 房本满五年 
黄金时代4室2厅，南北通透，采光好,黄金时代,齐鲁软件园,4室2厅 ,120.21, 南 北 , 简装 ,12, 板塔结合,25, 7个月以前发布,1630000.0,"13,560元/平",VR看装修 
凤凰路大4居 电梯中层 精装修 值得看,龙园,齐鲁软件园,4室2厅 ,179.62, 南 北 , 精装 ,22, 板楼,19, 一年前发布,3600000.0,"20,043元/平",VR看装修 
奥体中路山景房，康桥逸东精装三居，带车位地下室,康桥颐东,奥体中路,3室1厅 ,153.08, 南 , 精装 ,26, 板塔结合,21, 一年前发布,3650000.0,"23,844元/平",VR看装修 
山钢新天地大三居室房源评价...,山钢新天地,奥体中路,3室2厅 ,121.0, 南 , 其他 ,18, 板楼,9, 3个月以前发布,3100000.0,"25,620元/平",近地铁 VR看装修 
海信贤文世家 奥体中路 三室 山大教育 中间楼层,海信贤文世家,奥体中路,3室2厅 ,96.83, 南 , 其他 ,18, 板楼,25, 2个月以前发布,2350000.0,"24,270元/平",近地铁 VR看装修 
经十路万科精装三室，中楼层，采光无遮挡带车位地下室,万科金域国际,齐鲁软件园,3室2厅 ,157.0, 南 北 , 精装 ,28, 板楼,2, 4个月以前发布,4000000.0,"25,478元/平",VR看装修 
高新区看花园风景尽收眼底 丰奥嘉园 三居两卫 低楼层,丰奥嘉园南区,奥体中路,3室2厅 ,147.49, 南 北 , 精装 ,21, 板楼,15, 一年前发布,3050000.0,"20,680元/平",近地铁 VR看装修 
丰奥嘉园南区，大三室，人车分流，绿化优美,丰奥嘉园南区,奥体中路,3室1厅 ,148.72, 南 , 精装 ,21, 板楼,117, 一年前发布,2780000.0,"18,693元/平",近地铁 VR看装修 
金域国际精装房，中间楼层，视野开阔，户型方正,万科金域国际,齐鲁软件园,3室2厅 ,156.0, 南 北 , 其他 ,28, 板楼,6, 一年前发布,3750000.0,"24,039元/平",VR看装修 
盛世花城+两梯三户+看房方便+含地下室+含车位,盛世花城,国际会展中心,3室1厅 ,123.0, 南 北 , 其他 ,21, 板楼,50, 一年前发布,2420000.0,"19,675元/平",VR看装修 
雅居园 三室 南北通透 公摊小 带车位地下室 急售,雅居园小区,齐鲁软件园,3室2厅 ,139.0, 南 北 , 其他 ,12, 板楼,5, 4个月以前发布,4100000.0,"29,497元/平",VR看装修 
此房满五年，免征增值税，价格合适，看房提前约。,小鸭集团宿舍,世纪大道,3室2厅 ,107.71, 南 北 , 其他 ,6, 板楼,17, 一年前发布,1750000.0,"16,248元/平",VR看装修 
奥龙观邸精装四室楼层采光好俯瞰奥体诚心出售随时看房,中海奥龙觀邸,汉峪,4室1厅 ,195.23, 南 北 , 其他 ,28, 板楼,43, 8个月以前发布,5600000.0,"28,685元/平",VR看装修 
两室朝阳！全明户型！小高层！精装三居！明湖白鹭郡,明湖白鹭郡,康虹路,3室2厅 ,126.32, 南 北 , 精装 ,18, 板楼,11, 4个月以前发布,2400000.0,"19,000元/平",VR房源 
房产证满两年，南北通透，全明户型。,龙园,齐鲁软件园,3室1厅 ,148.0, 南 北 , 简装 ,27, 板楼,10, 2个月以前发布,2600000.0,"17,568元/平",VR看装修 
两居室 落地大窗 满两年 三阳台设计,茗筑美嘉,康虹路,2室2厅 ,92.14, 南 , 简装 ,24, 板楼,45, 一年前发布,1480000.0,"16,063元/平",VR看装修 
一楼有小院  30万精装拎包即住 一梯两户小洋房,茗筑美嘉,康虹路,3室2厅 ,124.0, 南 北 , 精装 ,7, 板楼,23, 1个月以前发布,2399000.0,"19,347元/平",VR看装修 
万科麓城精装三室两卫，含车位290万，总价低，诚心售,万科麓城,齐鲁软件园,3室2厅 ,124.0, 南 北 , 精装 ,32, 板楼,18, 3个月以前发布,2900000.0,"23,388元/平",VR看装修 
国华洋房，中间楼层，满两年，南北通透，有车位地下室,国华印象,齐鲁软件园,4室2厅 ,221.0, 南 北 , 精装 ,10, 板楼,46, 一年前发布,6500000.0,"29,412元/平",VR房源 
雅居园小区，低总价诚诚诚城心出售，,雅居园小区,齐鲁软件园,4室2厅 ,172.72, 南 北 , 其他 ,6, 板楼,38, 10个月以前发布,3000000.0,"17,370元/平",VR房源 
盛世三室精装修 诚意出售 价格的话可以商量,盛世花城,国际会展中心,3室1厅 ,143.94, 南 , 其他 ,16, 板楼,5, 3个月以前发布,2860000.0,"19,870元/平",VR看装修 
奥体东边户别墅带车库院子200平,中海奥龙觀邸,汉峪,6室2厅 ,463.0, 南 北 , 精装 ,4, 暂无数据,6, 7个月以前发布,22000000.0,"47,517元/平",VR房源 
业主诚心出售！好楼层！采光充足，视野开阔,中铁汇苑,奥体中路,3室2厅 ,143.48, 南 , 其他 ,28, 板塔结合,10, 1个月以前发布,3650000.0,"25,440元/平",VR看装修 
雅居园小区满五年不唯一，带车位带地下室，业主诚售,雅居园小区,齐鲁软件园,3室2厅 ,139.49, 南 北 , 其他 ,12, 板楼,21, 一年前发布,4300000.0,"30,827元/平",VR看装修 
银荷大厦 总价低三室 公摊小房,黄金时代,齐鲁软件园,3室2厅 ,100.0, 南 , 简装 ,7, 板楼,11, 2个月以前发布,1300000.0,"13,000元/平",VR看装修 
龙奥大厦 喜来登 中海奥龙观邸 精装三室,中海奥龙觀邸,汉峪,3室2厅 ,136.1, 南 北 , 其他 ,28, 板楼,3, 5个月以前发布,3800000.0,"27,921元/平",VR看装修 
高新万达南北通透+交通方便+ 户型方正+没有贷款,万达华府,国际会展中心,3室2厅 ,131.49, 南 北 , 其他 ,28, 板楼,57, 一年前发布,2670000.0,"20,306元/平",VR看装修 
奥体中路  海信贤文世家 三室好房,海信贤文世家,奥体中路,3室2厅 ,97.43, 南 , 简装 ,18, 板楼,83, 7个月以前发布,2400000.0,"24,634元/平",近地铁 VR看装修 
免高税 采光户型好， 公摊小， 全明格局 无地下室,海信慧园一区,康虹路,3室2厅 ,108.24, 南 北 , 其他 ,27, 板楼,9, 3个月以前发布,2250000.0,"20,788元/平",VR看装修 
小洋房 满两年 不沿街不靠路  好楼层采光好,祥泰新河湾,康虹路,3室2厅 ,115.0, 南 北 , 其他 ,11, 板楼,3, 1个月以前发布,2450000.0,"21,305元/平",VR看装修 
新生活家园南区 户型方正 交通生活便利,新生活家园南区,国际会展中心,1室0厅 ,49.8, 北 , 其他 ,5, 塔楼,3, 一年前发布,680000.0,"13,655元/平",VR看装修 房本满五年 
高新区齐鲁软件园西小面积住宅.,黄金时代,齐鲁软件园,1室1厅 ,48.49, 北 , 简装 ,7, 板塔结合,0, 6个月以前发布,820000.0,"16,911元/平",VR看装修 房本满两年 
国华印象大两居室 低楼层 精装修 有地下室,国华印象,齐鲁软件园,2室1厅 ,112.86, 南 , 其他 ,25, 板楼,2, 5个月以前发布,2480000.0,"21,975元/平",VR看装修 房本满两年 
精装一居室住宅+楼层好+总价低,新生活家园南区,国际会展中心,1室1厅 ,46.67, 北 , 简装 ,5, 塔楼,1, 7个月以前发布,720000.0,"15,428元/平",VR看装修 房本满两年 
精装，全明户型，奥龙观邸，奥体旁，龙奥大厦,中海奥龙觀邸,汉峪,2室2厅 ,90.39, 南 , 精装 ,28, 板楼,10, 3个月以前发布,2220000.0,"24,561元/平",VR看装修 房本满五年 
经典两居室户型，户型方正，南北通透,盛世花城,国际会展中心,2室2厅 ,111.89, 南 北 , 其他 ,12, 板楼,2,14,1980000.0,"17,696元/平",VR看装修 
高新万达广场 2室1厅 东南 南,高新万达广场,国际会展中心,2室1厅 ,65.6, 东南 南 , 其他 ,28, 板楼,7, 2个月以前发布,720000.0,"10,976元/平",VR房源 房本满两年 
鑫苑国际城市花园 1室1厅 南,鑫苑国际城市花园,国际会展中心,1室1厅 ,59.84, 南 , 其他 ,18, 板楼,2,11,1080000.0,"18,049元/平",VR看装修 
高新会展旁 鑫苑国际通透两居室 业主诚意出售,鑫苑国际城市花园,国际会展中心,2室2厅 ,76.78, 南 北 , 精装 ,18, 板楼,7, 4个月以前发布,1318000.0,"17,166元/平",VR看装修 房本满五年 
鑫苑国际，两室一厅朝阳，户型方正，采光视野好,鑫苑国际城市花园,国际会展中心,2室1厅 ,76.83, 南 , 精装 ,18, 板楼,8, 4个月以前发布,1450000.0,"18,873元/平",VR看装修 房本满五年 
高新万达广场 1室1厅 南,高新万达广场,国际会展中心,1室1厅 ,48.57, 南 , 其他 ,28, 板楼,1, 2个月以前发布,530000.0,"10,913元/平",VR房源 房本满两年 
国华印象两室业主自住，精装修，采光通风好，看房方便,国华印象,齐鲁软件园,2室2厅 ,107.84, 南 , 精装 ,26, 板楼,4, 1个月以前发布,2300000.0,"21,328元/平",VR看装修 房本满两年 
证满五年，带车位，精装修，免增值税，中间楼层,龙园,齐鲁软件园,2室2厅 ,96.45, 南 , 其他 ,27, 板楼,3, 8个月以前发布,1950000.0,"20,218元/平",VR看装修 房本满五年 
黄金时代 1室0厅 西,黄金时代,齐鲁软件园,1室0厅 ,67.51, 西 , 简装 ,7, 板塔结合,1, 1个月以前发布,1130000.0,"16,739元/平",VR看装修 房本满五年 
齐鲁软件园  一居室  电梯房,黄金时代,齐鲁软件园,1室1厅 ,57.35, 北 , 精装 ,7, 板塔结合,7, 一年前发布,900000.0,"15,694元/平",VR看装修 房本满五年 
齐鲁软件园  精装一室  满两年  诚意出售,黄金时代,齐鲁软件园,1室1厅 ,35.73, 北 , 简装 ,7, 板塔结合,11, 一年前发布,650000.0,"18,192元/平",VR看装修 房本满两年 
齐鲁软件园一居住宅  满五年  中间楼层  精装修,黄金时代,齐鲁软件园,1室1厅 ,48.53, 南 , 精装 ,7, 板塔结合,2, 3个月以前发布,810000.0,"16,691元/平",VR看装修 房本满五年 
万达商圈 全明户型 业主诚意出售 产权明晰 钥匙看房,鑫苑国际城市花园,国际会展中心,2室2厅 ,82.55, 西北 , 简装 ,24, 塔楼,16, 3个月以前发布,1250000.0,"15,143元/平",VR看装修 房本满五年 
齐鲁软件园精装南向一居  满五年  中间楼层,黄金时代,齐鲁软件园,1室1厅 ,48.53, 南 , 精装 ,7, 板塔结合,13, 一年前发布,780000.0,"16,073元/平",VR看装修 房本满五年 
带电梯   一居室  高楼层采光好,黄金时代,齐鲁软件园,1室0厅 ,50.82, 南 , 其他 ,7, 板塔结合,6, 一年前发布,950000.0,"18,694元/平",VR看装修 房本满五年 
一居室住宅多层有电梯+看房方便+诚心出售户型通透,新生活家园南区,国际会展中心,1室0厅 ,60.31, 北 , 其他 ,5, 塔楼,14, 8个月以前发布,750000.0,"12,436元/平",VR看装修 房本满两年 
此房满两年，免增值税；简单装修 视野好,龙园,齐鲁软件园,2室2厅 ,94.96, 南 , 简装 ,27, 板楼,50, 7个月以前发布,1650000.0,"17,376元/平",VR看装修 房本满两年 
高新万达旁，两居室，满五唯一免双税，看房方便,鑫苑国际城市花园,国际会展中心,2室1厅 ,76.16, 南 , 简装 ,18, 板楼,3,12,1350000.0,"17,726元/平",VR房源 
看房联系 高新区新生活家园南区，小户型住宅，总价低,新生活家园南区,国际会展中心,1室1厅 ,36.76, 南 , 简装 ,5, 塔楼,64, 一年前发布,550000.0,"14,962元/平",VR看装修 房本满五年 
未来城南向公寓，交通方便，生活方便,未来城,国际会展中心,1室1厅 ,42.2, 南 , 其他 ,18, 塔楼,7, 1个月以前发布,360000.0,"8,531元/平",VR房源 房本满五年 
万达旁刚需两室 电梯洋房居住舒适度高 有车位,鑫苑国际城市花园,国际会展中心,2室1厅 ,77.56, 南 , 精装 ,9, 板楼,9, 1个月以前发布,1460000.0,"18,825元/平",VR看装修 房本满五年 
高新区茗筑美嘉小区一室中间位置 不沿街不靠路,茗筑美嘉,康虹路,1室1厅 ,69.14, 南 北 , 其他 ,18, 板楼,13, 2个月以前发布,1265000.0,"18,297元/平",VR看装修 房本满五年 
户型方正，客厅主卧朝南，产权清晰，诚心出售,万达华府,国际会展中心,2室2厅 ,91.96, 南 , 精装 ,16, 板楼,42, 一年前发布,1730000.0,"18,813元/平",VR看装修 房本满两年 
复式精装五层带电梯  价格合适 诚心出售,新生活家园南区,国际会展中心,3室2厅 ,74.28, 北 , 精装 ,5, 塔楼,139, 一年前发布,1180000.0,"15,886元/平",VR房源 房本满五年 
此房源满两年，业主诚意出售，有电梯，看房方便。,黄金时代,齐鲁软件园,1室1厅 ,46.49, 南 , 其他 ,7, 板塔结合,14, 一年前发布,850000.0,"18,284元/平",VR看装修 房本满两年 
理想西南朝阳，业主诚意出售，价格可谈,理想新城,世纪大道,2室2厅 ,96.0, 西南 , 简装 ,21, 塔楼,13, 4个月以前发布,790000.0,"8,230元/平",VR房源 
高新区 四室户型 高楼层 采光好 诚心出售 看房方便,黄金时代,齐鲁软件园,4室2厅 ,145.0, 南 北 , 精装 ,7, 板塔结合,11, 8个月以前发布,3000000.0,"20,690元/平",VR看装修 
丰奥嘉园北区 满两年 万科物业 24小时保安巡逻,丰奥嘉园北区,奥体中路,2室2厅 ,112.0, 南 , 简装 ,25, 板楼,16, 11个月以前发布,1900000.0,"16,965元/平",近地铁 VR看装修 
满五年，免增值税，南北通透大三居，楼层好，采光充足,黄金时代,齐鲁软件园,3室2厅 ,139.0, 南 北 , 精装 ,7, 板楼,78, 一年前发布,2700000.0,"19,425元/平",VR看装修 
此房证过两年，南向，楼层好，视野开阔，采光充足。,中铁汇苑,奥体中路,2室2厅 ,98.0, 南 , 精装 ,26, 板塔结合,6, 2个月以前发布,2200000.0,"22,449元/平",近地铁 VR看装修 
高新万达旁 新生活家园 精装修 带产权车位 免高税,新生活家园北区,康虹路,2室2厅 ,99.99, 北 南 , 精装 ,28, 塔楼,7, 一年前发布,1750000.0,"17,502元/平",VR看装修 
凤凰SOHO 1室1厅 南,凤凰SOHO,康虹路,1室1厅 ,40.1, 南 , 其他 ,22, 塔楼,2, 1个月以前发布,430000.0,"10,724元/平",VR房源 
楼层高，视野开阔，产权明晰，证过两年 免 税。,汇展香格里拉,国际会展中心,2室1厅 ,77.7, 南 , 其他 ,27, 塔楼,1,23,890000.0,"11,455元/平",VR房源 
奥体旁 精装两室  好楼层 价格可谈 采光无遮挡,万科金域国际,齐鲁软件园,2室2厅 ,77.85, 南 北 , 简装 ,30, 板楼,1, 1个月以前发布,1850000.0,"23,764元/平",VR看装修 
高新万达商圈，楼层合适采光合适。视野很棒,汇展香格里拉,国际会展中心,1室1厅 ,75.05, 北 , 其他 ,31, 塔楼,0,23,500000.0,"6,663元/平",VR房源 
汉峪金谷奥体租金2500精装小公寓,华创观礼中心,汉峪,1室1厅 ,36.13, 北 , 其他 ,33, 板楼,1,31,420000.0,"11,625元/平",VR房源 
汇展香格里拉 1室0厅 南,汇展香格里拉,国际会展中心,1室0厅 ,73.28, 南 , 其他 ,31, 塔楼,0,20,600000.0,"8,188元/平",VR房源 
诚意出售 户型方正 看房提前联系,新生活家园南区,国际会展中心,1室1厅 ,60.43, 西 , 其他 ,7, 塔楼,7,28,800000.0,"13,239元/平",VR看装修 
楼层好，采光充足户型方正 产权清晰，诚心出售,万达华府,国际会展中心,2室1厅 ,97.51, 南 北 , 其他 ,32, 板楼,3,20,1810000.0,"18,563元/平",VR看装修 
盛世花城公寓 1室1厅 东北,盛世花城公寓,国际会展中心,1室1厅 ,48.02, 东北 , 简装 ,15, 塔楼,0,30,420000.0,"8,747元/平",VR房源 
满二免稅，可户，可学 花园式小区，随时可以看房,汇展香格里拉,国际会展中心,2室1厅 ,65.56, 北 , 其他 ,27, 塔楼,0,30,710000.0,"10,830元/平",VR房源 
国华印象 2室2厅 南,国华印象,齐鲁软件园,2室2厅 ,100.11, 南 , 其他 ,26, 板楼,1,30,2200000.0,"21,976元/平",VR看装修 
雅居园小区 2室2厅 南 北,雅居园小区,齐鲁软件园,2室2厅 ,86.53, 南 北 , 简装 ,18, 板塔结合,7,24,1670000.0,"19,300元/平",VR看装修 
楼层好，采光视野棒，无高税节约成本，精装自住房,龙园,齐鲁软件园,3室2厅 ,146.24, 南 北 , 其他 ,26, 板楼,4, 1个月以前发布,2680000.0,"18,327元/平",VR房源 
经典两室、户型方正、有地下室 配套齐全、房东诚售,盛世花城,国际会展中心,2室1厅 ,83.66, 南 北 , 其他 ,22, 板楼,12,21,1500000.0,"17,930元/平",VR房源 
华创观礼中心 1室0厅 东北,华创观礼中心,汉峪,1室0厅 ,40.0, 东北 , 其他 ,33, 板楼,0,26,550000.0,"13,750元/平",VR房源 
太合适了奥体新出两室 带车位地下室 视野开阔,万科金域国际,齐鲁软件园,2室2厅 ,84.03, 南 , 精装 ,30, 板楼,8,29,1850000.0,"22,016元/平",VR看装修 
未来城 3室2厅 南,未来城,国际会展中心,3室2厅 ,134.0, 南 , 其他 ,22, 板塔结合,12,25,2200000.0,"16,418元/平",VR看装修 
户型方正，业主急售，报价带车位,龙园,齐鲁软件园,2室1厅 ,96.66, 南 , 其他 ,22, 板楼,0,27,1900000.0,"19,657元/平",VR看装修 
此房满两年，主卧大落地窗 全屋地暖居住舒适,未来城,国际会展中心,2室2厅 ,90.36, 南 , 其他 ,20, 塔楼,2,20,1630000.0,"18,039元/平",VR看装修 
龙奥北路，精装公寓，楼层好 视野佳,龙湖奥东11号,汉峪,1室1厅 ,43.0, 东 , 其他 ,22, 塔楼,1,28,750000.0,"17,442元/平",VR房源 
未来城 2室2厅 南,未来城,国际会展中心,2室2厅 ,90.12, 南 , 简装 ,18, 塔楼,0,22,1000000.0,"11,097元/平",VR房源 
汇展香格里拉 1室1厅 北,汇展香格里拉,国际会展中心,1室1厅 ,39.07, 北 , 其他 ,27, 塔楼,0,16,550000.0,"14,078元/平",VR房源 
万科麓公馆 1室0厅 东,万科麓公馆,齐鲁软件园,1室0厅 ,31.0, 东 , 其他 ,30, 板楼,0,24,420000.0,"13,549元/平",VR房源 
业主自住，采光好，全明户型，卫生间有窗户，人车分流,中海天悦府,齐鲁软件园,2室1厅 ,90.13, 南 北 , 其他 ,32, 板楼,6,19,1800000.0,"19,972元/平",VR看装修 
通透两居  小鸭宿舍 看房预约  业主诚意出售,小鸭集团宿舍,世纪大道,2室1厅 ,91.38, 南 北 , 简装 ,6, 板楼,7, 6个月以前发布,1400000.0,"15,321元/平",VR看装修 
奥体旁浪潮边 经十路沿线精装三居 总价300万带车位,万科金域国际,齐鲁软件园,3室1厅 ,132.0, 南 北 , 精装 ,28, 板楼,4, 3个月以前发布,3000000.0,"22,728元/平",VR看装修 
济南高新区刚需网红盘。。。。。,明湖白鹭郡,康虹路,2室1厅 ,86.0, 西 北 , 简装 ,20, 塔楼,24, 一年前发布,1230000.0,"14,303元/平",VR看装修 
凤凰SOHO 精装修 上下两层 R2地铁口 诚意出售,凤凰SOHO,康虹路,2室1厅 ,33.92, 北 , 精装 ,19, 塔楼,47, 6个月以前发布,370000.0,"10,909元/平",VR房源 
雅居园四区 四居室 靠山 精装 看房方便,雅居园小区,齐鲁软件园,4室2厅 ,136.2, 北 , 精装 ,18, 塔楼,53, 8个月以前发布,2650000.0,"19,457元/平",VR看装修 
黄金时代 齐鲁软件园商圈  交通便利 成熟商圈,黄金时代,齐鲁软件园,4室2厅 ,183.0, 南 , 精装 ,11, 板楼,2, 2个月以前发布,4290000.0,"23,443元/平",VR房源 
